Disease type,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Chronic obstructive pulmonary disease,Central Coast LHD,2001-2003,32.6,29.5,36
Chronic obstructive pulmonary disease,Central Coast LHD,2002-2004,30.9,27.9,34.2
Chronic obstructive pulmonary disease,Central Coast LHD,2003-2005,27.6,24.8,30.7
Chronic obstructive pulmonary disease,Central Coast LHD,2004-2006,27.9,25,30.9
Chronic obstructive pulmonary disease,Central Coast LHD,2005-2007,28.9,26.1,32
Chronic obstructive pulmonary disease,Central Coast LHD,2006-2008,30.2,27.3,33.3
Chronic obstructive pulmonary disease,Central Coast LHD,2007-2009,30.4,27.5,33.4
Chronic obstructive pulmonary disease,Central Coast LHD,2008-2010,28.7,25.9,31.6
Chronic obstructive pulmonary disease,Central Coast LHD,2009-2011,26.2,23.7,29
Chronic obstructive pulmonary disease,Central Coast LHD,2010-2012,27.7,25.1,30.5
Chronic obstructive pulmonary disease,Central Coast LHD,2011-2013,29.2,26.5,32.1
Chronic obstructive pulmonary disease,Central Coast LHD,2012-2014,31.8,29,34.8
Chronic obstructive pulmonary disease,Central Coast LHD,2013-2015,32.3,29.6,35.3
Chronic obstructive pulmonary disease,Central Coast LHD,2014-2016,32.8,30,35.8
Chronic obstructive pulmonary disease,Central Coast LHD,2015-2017,34.9,32.1,38
Chronic obstructive pulmonary disease,Central Coast LHD,2016-2018,35.2,32.3,38.2
Chronic obstructive pulmonary disease,Central Coast LHD,2017-2019,36.3,33.5,39.4
Chronic obstructive pulmonary disease,Central Coast LHD,2018-2020,32.6,29.9,35.5
Chronic obstructive pulmonary disease,Central Coast LHD,2019-2021,30.9,28.3,33.7
Chronic obstructive pulmonary disease,Hunter New England LHD,2001-2003,30.5,28.5,32.6
Chronic obstructive pulmonary disease,Hunter New England LHD,2002-2004,28.4,26.5,30.4
Chronic obstructive pulmonary disease,Hunter New England LHD,2003-2005,26,24.2,27.9
Chronic obstructive pulmonary disease,Hunter New England LHD,2004-2006,25.1,23.3,26.9
Chronic obstructive pulmonary disease,Hunter New England LHD,2005-2007,24.8,23.1,26.6
Chronic obstructive pulmonary disease,Hunter New England LHD,2006-2008,24.9,23.2,26.7
Chronic obstructive pulmonary disease,Hunter New England LHD,2007-2009,24.7,23,26.5
Chronic obstructive pulmonary disease,Hunter New England LHD,2008-2010,24.6,23,26.3
Chronic obstructive pulmonary disease,Hunter New England LHD,2009-2011,24.3,22.7,26
Chronic obstructive pulmonary disease,Hunter New England LHD,2010-2012,25,23.4,26.7
Chronic obstructive pulmonary disease,Hunter New England LHD,2011-2013,26.3,24.7,28
Chronic obstructive pulmonary disease,Hunter New England LHD,2012-2014,28,26.3,29.7
Chronic obstructive pulmonary disease,Hunter New England LHD,2013-2015,28.6,26.9,30.3
Chronic obstructive pulmonary disease,Hunter New England LHD,2014-2016,29.2,27.6,31
Chronic obstructive pulmonary disease,Hunter New England LHD,2015-2017,30.2,28.5,31.9
Chronic obstructive pulmonary disease,Hunter New England LHD,2016-2018,29.6,28,31.4
Chronic obstructive pulmonary disease,Hunter New England LHD,2017-2019,29.3,27.6,31
Chronic obstructive pulmonary disease,Hunter New England LHD,2018-2020,26.9,25.3,28.5
Chronic obstructive pulmonary disease,Hunter New England LHD,2019-2021,26.4,24.9,28
Chronic obstructive pulmonary disease,Northern NSW LHD,2001-2003,27.1,24.1,30.4
Chronic obstructive pulmonary disease,Northern NSW LHD,2002-2004,27.3,24.3,30.6
Chronic obstructive pulmonary disease,Northern NSW LHD,2003-2005,26.5,23.6,29.7
Chronic obstructive pulmonary disease,Northern NSW LHD,2004-2006,23.9,21.2,26.9
Chronic obstructive pulmonary disease,Northern NSW LHD,2005-2007,22.2,19.6,25.1
Chronic obstructive pulmonary disease,Northern NSW LHD,2006-2008,21.2,18.7,24
Chronic obstructive pulmonary disease,Northern NSW LHD,2007-2009,21.4,18.9,24.2
Chronic obstructive pulmonary disease,Northern NSW LHD,2008-2010,21.1,18.6,23.7
Chronic obstructive pulmonary disease,Northern NSW LHD,2009-2011,22.7,20.2,25.4
Chronic obstructive pulmonary disease,Northern NSW LHD,2010-2012,23.4,20.9,26.1
Chronic obstructive pulmonary disease,Northern NSW LHD,2011-2013,24.5,22,27.3
Chronic obstructive pulmonary disease,Northern NSW LHD,2012-2014,23,20.6,25.6
Chronic obstructive pulmonary disease,Northern NSW LHD,2013-2015,23,20.6,25.6
Chronic obstructive pulmonary disease,Northern NSW LHD,2014-2016,24.2,21.8,26.8
Chronic obstructive pulmonary disease,Northern NSW LHD,2015-2017,25.2,22.8,27.9
Chronic obstructive pulmonary disease,Northern NSW LHD,2016-2018,25.9,23.5,28.6
Chronic obstructive pulmonary disease,Northern NSW LHD,2017-2019,26.1,23.7,28.8
Chronic obstructive pulmonary disease,Northern NSW LHD,2018-2020,26.8,24.3,29.5
Chronic obstructive pulmonary disease,Northern NSW LHD,2019-2021,24.3,22,26.9
Chronic obstructive pulmonary disease,Mid North Coast LHD,2001-2003,30.8,27.1,34.9
Chronic obstructive pulmonary disease,Mid North Coast LHD,2002-2004,24.7,21.4,28.4
Chronic obstructive pulmonary disease,Mid North Coast LHD,2003-2005,27.4,24,31.2
Chronic obstructive pulmonary disease,Mid North Coast LHD,2004-2006,26.7,23.4,30.4
Chronic obstructive pulmonary disease,Mid North Coast LHD,2005-2007,29.2,25.8,33
Chronic obstructive pulmonary disease,Mid North Coast LHD,2006-2008,27.4,24.1,31
Chronic obstructive pulmonary disease,Mid North Coast LHD,2007-2009,28.5,25.2,32.2
Chronic obstructive pulmonary disease,Mid North Coast LHD,2008-2010,26.1,23,29.6
Chronic obstructive pulmonary disease,Mid North Coast LHD,2009-2011,28,24.8,31.5
Chronic obstructive pulmonary disease,Mid North Coast LHD,2010-2012,26.9,23.8,30.3
Chronic obstructive pulmonary disease,Mid North Coast LHD,2011-2013,28.7,25.6,32.2
Chronic obstructive pulmonary disease,Mid North Coast LHD,2012-2014,29.5,26.4,33
Chronic obstructive pulmonary disease,Mid North Coast LHD,2013-2015,29,26,32.5
Chronic obstructive pulmonary disease,Mid North Coast LHD,2014-2016,28.6,25.6,32
Chronic obstructive pulmonary disease,Mid North Coast LHD,2015-2017,28.4,25.5,31.7
Chronic obstructive pulmonary disease,Mid North Coast LHD,2016-2018,29.6,26.6,32.9
Chronic obstructive pulmonary disease,Mid North Coast LHD,2017-2019,31.4,28.4,34.7
Chronic obstructive pulmonary disease,Mid North Coast LHD,2018-2020,28.7,25.9,31.9
Chronic obstructive pulmonary disease,Mid North Coast LHD,2019-2021,28,25.2,31.2
Chronic obstructive pulmonary disease,Southern NSW LHD,2001-2003,29.3,25.1,34
Chronic obstructive pulmonary disease,Southern NSW LHD,2002-2004,28.4,24.4,33.1
Chronic obstructive pulmonary disease,Southern NSW LHD,2003-2005,27.1,23.2,31.5
Chronic obstructive pulmonary disease,Southern NSW LHD,2004-2006,26.2,22.4,30.5
Chronic obstructive pulmonary disease,Southern NSW LHD,2005-2007,27.9,24,32.2
Chronic obstructive pulmonary disease,Southern NSW LHD,2006-2008,27.6,23.8,31.9
Chronic obstructive pulmonary disease,Southern NSW LHD,2007-2009,27.5,23.8,31.7
Chronic obstructive pulmonary disease,Southern NSW LHD,2008-2010,25.6,22.1,29.6
Chronic obstructive pulmonary disease,Southern NSW LHD,2009-2011,26.4,22.8,30.4
Chronic obstructive pulmonary disease,Southern NSW LHD,2010-2012,27,23.4,30.9
Chronic obstructive pulmonary disease,Southern NSW LHD,2011-2013,27.2,23.7,31.1
Chronic obstructive pulmonary disease,Southern NSW LHD,2012-2014,28.7,25.2,32.6
Chronic obstructive pulmonary disease,Southern NSW LHD,2013-2015,30.5,26.9,34.5
Chronic obstructive pulmonary disease,Southern NSW LHD,2014-2016,31.1,27.5,35.1
Chronic obstructive pulmonary disease,Southern NSW LHD,2015-2017,32,28.4,36
Chronic obstructive pulmonary disease,Southern NSW LHD,2016-2018,32.3,28.7,36.3
Chronic obstructive pulmonary disease,Southern NSW LHD,2017-2019,33.8,30.2,37.7
Chronic obstructive pulmonary disease,Southern NSW LHD,2018-2020,30.7,27.4,34.5
Chronic obstructive pulmonary disease,Southern NSW LHD,2019-2021,28.8,25.6,32.4
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2001-2003,32.5,28.7,36.7
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2002-2004,34.5,30.5,38.8
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2003-2005,32.8,29,37
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2004-2006,28.6,25.1,32.5
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2005-2007,29.7,26.2,33.6
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2006-2008,27.1,23.8,30.8
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2007-2009,27.4,24.1,31.1
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2008-2010,24.7,21.6,28.1
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2009-2011,25.6,22.5,29
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2010-2012,26.5,23.4,30
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2011-2013,26.5,23.4,29.9
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2012-2014,26.8,23.8,30.2
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2013-2015,30.2,27,33.8
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2014-2016,31.8,28.5,35.4
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2015-2017,31.5,28.2,35
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2016-2018,29.6,26.5,33
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2017-2019,30.9,27.8,34.4
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2018-2020,30.7,27.6,34.1
Chronic obstructive pulmonary disease,Murrumbidgee LHD,2019-2021,31.1,28,34.5
Chronic obstructive pulmonary disease,Western NSW LHD,2001-2003,34.6,30.7,38.8
Chronic obstructive pulmonary disease,Western NSW LHD,2002-2004,33.9,30.1,38.1
Chronic obstructive pulmonary disease,Western NSW LHD,2003-2005,32.5,28.8,36.5
Chronic obstructive pulmonary disease,Western NSW LHD,2004-2006,31.5,27.9,35.5
Chronic obstructive pulmonary disease,Western NSW LHD,2005-2007,29.7,26.2,33.4
Chronic obstructive pulmonary disease,Western NSW LHD,2006-2008,28.9,25.5,32.6
Chronic obstructive pulmonary disease,Western NSW LHD,2007-2009,31.3,27.8,35.1
Chronic obstructive pulmonary disease,Western NSW LHD,2008-2010,32.7,29.2,36.6
Chronic obstructive pulmonary disease,Western NSW LHD,2009-2011,33.9,30.4,37.7
Chronic obstructive pulmonary disease,Western NSW LHD,2010-2012,34.6,31.1,38.4
Chronic obstructive pulmonary disease,Western NSW LHD,2011-2013,34,30.6,37.7
Chronic obstructive pulmonary disease,Western NSW LHD,2012-2014,35.7,32.2,39.5
Chronic obstructive pulmonary disease,Western NSW LHD,2013-2015,36.8,33.3,40.6
Chronic obstructive pulmonary disease,Western NSW LHD,2014-2016,42.9,39.1,46.9
Chronic obstructive pulmonary disease,Western NSW LHD,2015-2017,47.4,43.5,51.6
Chronic obstructive pulmonary disease,Western NSW LHD,2016-2018,47.3,43.4,51.5
Chronic obstructive pulmonary disease,Western NSW LHD,2017-2019,42.2,38.6,46.1
Chronic obstructive pulmonary disease,Western NSW LHD,2018-2020,36.8,33.5,40.4
Chronic obstructive pulmonary disease,Western NSW LHD,2019-2021,34.8,31.6,38.2
Chronic obstructive pulmonary disease,Far West LHD,2001-2003,37,26.9,49.9
Chronic obstructive pulmonary disease,Far West LHD,2002-2004,34,24.3,46.5
Chronic obstructive pulmonary disease,Far West LHD,2003-2005,37.8,27.5,51
Chronic obstructive pulmonary disease,Far West LHD,2004-2006,34.4,24.7,46.9
Chronic obstructive pulmonary disease,Far West LHD,2005-2007,37.3,27.4,49.9
Chronic obstructive pulmonary disease,Far West LHD,2006-2008,37.3,27.4,49.8
Chronic obstructive pulmonary disease,Far West LHD,2007-2009,38.5,28.5,51.1
Chronic obstructive pulmonary disease,Far West LHD,2008-2010,36.3,26.6,48.8
Chronic obstructive pulmonary disease,Far West LHD,2009-2011,33.3,24.2,45.2
Chronic obstructive pulmonary disease,Far West LHD,2010-2012,34.2,25,46.2
Chronic obstructive pulmonary disease,Far West LHD,2011-2013,40.3,30.4,52.9
Chronic obstructive pulmonary disease,Far West LHD,2012-2014,39.7,29.9,52.1
Chronic obstructive pulmonary disease,Far West LHD,2013-2015,44.5,34.1,57.4
Chronic obstructive pulmonary disease,Far West LHD,2014-2016,34.9,25.8,46.8
Chronic obstructive pulmonary disease,Far West LHD,2015-2017,39.4,29.4,52.1
Chronic obstructive pulmonary disease,Far West LHD,2016-2018,32.4,23.3,44.3
Chronic obstructive pulmonary disease,Far West LHD,2017-2019,38.5,28.6,51.3
Chronic obstructive pulmonary disease,Far West LHD,2018-2020,40.1,30.3,52.7
Chronic obstructive pulmonary disease,Far West LHD,2019-2021,40.2,30.5,52.5
Chronic obstructive pulmonary disease,All LHDs,2001-2003,26.9,26.2,27.6
Chronic obstructive pulmonary disease,All LHDs,2002-2004,26.1,25.4,26.8
Chronic obstructive pulmonary disease,All LHDs,2003-2005,24.3,23.7,25
Chronic obstructive pulmonary disease,All LHDs,2004-2006,22.8,22.2,23.5
Chronic obstructive pulmonary disease,All LHDs,2005-2007,22.4,21.8,23
Chronic obstructive pulmonary disease,All LHDs,2006-2008,22.2,21.6,22.8
Chronic obstructive pulmonary disease,All LHDs,2007-2009,22.3,21.7,22.9
Chronic obstructive pulmonary disease,All LHDs,2008-2010,21.5,21,22.1
Chronic obstructive pulmonary disease,All LHDs,2009-2011,21.6,21,22.2
Chronic obstructive pulmonary disease,All LHDs,2010-2012,22.1,21.5,22.7
Chronic obstructive pulmonary disease,All LHDs,2011-2013,23,22.5,23.6
Chronic obstructive pulmonary disease,All LHDs,2012-2014,23.7,23.1,24.3
Chronic obstructive pulmonary disease,All LHDs,2013-2015,24.2,23.6,24.7
Chronic obstructive pulmonary disease,All LHDs,2014-2016,24.7,24.1,25.3
Chronic obstructive pulmonary disease,All LHDs,2015-2017,25.4,24.8,26
Chronic obstructive pulmonary disease,All LHDs,2016-2018,24.6,24.1,25.2
Chronic obstructive pulmonary disease,All LHDs,2017-2019,24.1,23.5,24.6
Chronic obstructive pulmonary disease,All LHDs,2018-2020,22.1,21.5,22.6
Chronic obstructive pulmonary disease,All LHDs,2019-2021,21.5,20.9,22
Respiratory diseases affecting interstitium,Sydney LHD,2001-2003,4,3.1,5.2
Respiratory diseases affecting interstitium,Sydney LHD,2002-2004,4.2,3.2,5.4
Respiratory diseases affecting interstitium,Sydney LHD,2003-2005,4.1,3.2,5.3
Respiratory diseases affecting interstitium,Sydney LHD,2004-2006,3.9,3,5.1
Respiratory diseases affecting interstitium,Sydney LHD,2005-2007,3.8,2.9,4.9
Respiratory diseases affecting interstitium,Sydney LHD,2006-2008,3.9,3,5.1
Respiratory diseases affecting interstitium,Sydney LHD,2007-2009,3.6,2.8,4.7
Respiratory diseases affecting interstitium,Sydney LHD,2008-2010,3.8,2.9,4.9
Respiratory diseases affecting interstitium,Sydney LHD,2009-2011,4.4,3.4,5.5
Respiratory diseases affecting interstitium,Sydney LHD,2010-2012,5.2,4.2,6.4
Respiratory diseases affecting interstitium,Sydney LHD,2011-2013,5.1,4.1,6.3
Respiratory diseases affecting interstitium,Sydney LHD,2012-2014,4.5,3.6,5.6
Respiratory diseases affecting interstitium,Sydney LHD,2013-2015,4,3.2,5.1
Respiratory diseases affecting interstitium,Sydney LHD,2014-2016,4.1,3.2,5.2
Respiratory diseases affecting interstitium,Sydney LHD,2015-2017,4.6,3.7,5.6
Respiratory diseases affecting interstitium,Sydney LHD,2016-2018,4.5,3.6,5.5
Respiratory diseases affecting interstitium,Sydney LHD,2017-2019,4.5,3.6,5.5
Respiratory diseases affecting interstitium,Sydney LHD,2018-2020,3.9,3.1,4.9
Respiratory diseases affecting interstitium,Sydney LHD,2019-2021,4.2,3.4,5.2
Respiratory diseases affecting interstitium,South Western Sydney LHD,2001-2003,2.9,2.2,3.9
Respiratory diseases affecting interstitium,South Western Sydney LHD,2002-2004,3.7,2.9,4.7
Respiratory diseases affecting interstitium,South Western Sydney LHD,2003-2005,3.3,2.6,4.2
Respiratory diseases affecting interstitium,South Western Sydney LHD,2004-2006,4.1,3.3,5.1
Respiratory diseases affecting interstitium,South Western Sydney LHD,2005-2007,4.3,3.4,5.3
Respiratory diseases affecting interstitium,South Western Sydney LHD,2006-2008,4.8,3.9,5.9
Respiratory diseases affecting interstitium,South Western Sydney LHD,2007-2009,4,3.2,4.9
Respiratory diseases affecting interstitium,South Western Sydney LHD,2008-2010,4,3.2,4.9
Respiratory diseases affecting interstitium,South Western Sydney LHD,2009-2011,4.3,3.5,5.3
Respiratory diseases affecting interstitium,South Western Sydney LHD,2010-2012,4.8,4,5.8
Respiratory diseases affecting interstitium,South Western Sydney LHD,2011-2013,4.6,3.8,5.5
Respiratory diseases affecting interstitium,South Western Sydney LHD,2012-2014,4.4,3.6,5.3
Respiratory diseases affecting interstitium,South Western Sydney LHD,2013-2015,5.1,4.3,6
Respiratory diseases affecting interstitium,South Western Sydney LHD,2014-2016,5.6,4.7,6.5
Respiratory diseases affecting interstitium,South Western Sydney LHD,2015-2017,5.7,4.8,6.6
Respiratory diseases affecting interstitium,South Western Sydney LHD,2016-2018,5.3,4.5,6.2
Respiratory diseases affecting interstitium,South Western Sydney LHD,2017-2019,5.2,4.4,6.1
Respiratory diseases affecting interstitium,South Western Sydney LHD,2018-2020,5,4.3,5.8
Respiratory diseases affecting interstitium,South Western Sydney LHD,2019-2021,5.3,4.5,6.1
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2001-2003,4.7,3.9,5.6
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2002-2004,4.4,3.6,5.3
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2003-2005,3.7,3,4.5
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2004-2006,3.7,3,4.5
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2005-2007,3.6,3,4.4
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2006-2008,4,3.3,4.8
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2007-2009,4.1,3.4,4.9
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2008-2010,4.3,3.6,5.1
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2009-2011,4,3.3,4.8
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2010-2012,4.8,4,5.6
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2011-2013,4.9,4.1,5.7
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2012-2014,5,4.2,5.8
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2013-2015,4.9,4.1,5.7
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2014-2016,4.6,3.9,5.4
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2015-2017,4.6,3.9,5.4
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2016-2018,4,3.3,4.7
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2017-2019,4.2,3.6,5
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2018-2020,4.2,3.5,5
Respiratory diseases affecting interstitium,South Eastern Sydney LHD,2019-2021,4.7,4,5.5
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2001-2003,3.8,2.8,5
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2002-2004,3.8,2.8,5
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2003-2005,3.3,2.3,4.4
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2004-2006,3,2.1,4.1
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2005-2007,3.2,2.3,4.4
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2006-2008,4.8,3.7,6.1
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2007-2009,5.4,4.3,6.8
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2008-2010,5.5,4.4,6.9
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2009-2011,5,4,6.3
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2010-2012,4.9,3.9,6.1
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2011-2013,5.2,4.2,6.5
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2012-2014,5.9,4.8,7.2
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2013-2015,5.8,4.8,7.1
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2014-2016,5.5,4.5,6.7
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2015-2017,5.2,4.2,6.3
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2016-2018,4.6,3.7,5.8
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2017-2019,4.8,3.9,5.9
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2018-2020,4.3,3.4,5.3
Respiratory diseases affecting interstitium,Illawarra Shoalhaven LHD,2019-2021,5.1,4.2,6.2
Respiratory diseases affecting interstitium,Western Sydney LHD,2001-2003,3.8,2.9,4.9
Respiratory diseases affecting interstitium,Western Sydney LHD,2002-2004,4,3.1,5.1
Respiratory diseases affecting interstitium,Western Sydney LHD,2003-2005,4.2,3.3,5.3
Respiratory diseases affecting interstitium,Western Sydney LHD,2004-2006,4.1,3.2,5.2
Respiratory diseases affecting interstitium,Western Sydney LHD,2005-2007,3.7,2.9,4.7
Respiratory diseases affecting interstitium,Western Sydney LHD,2006-2008,3.2,2.4,4.1
Respiratory diseases affecting interstitium,Western Sydney LHD,2007-2009,3,2.3,3.9
Respiratory diseases affecting interstitium,Western Sydney LHD,2008-2010,4,3.2,5
Respiratory diseases affecting interstitium,Western Sydney LHD,2009-2011,4.6,3.7,5.6
Respiratory diseases affecting interstitium,Western Sydney LHD,2010-2012,5.1,4.1,6.1
Respiratory diseases affecting interstitium,Western Sydney LHD,2011-2013,4.5,3.6,5.4
Respiratory diseases affecting interstitium,Western Sydney LHD,2012-2014,4.4,3.6,5.3
Respiratory diseases affecting interstitium,Western Sydney LHD,2013-2015,3.6,2.9,4.5
Respiratory diseases affecting interstitium,Western Sydney LHD,2014-2016,4,3.2,4.9
Respiratory diseases affecting interstitium,Western Sydney LHD,2015-2017,4,3.3,4.9
Respiratory diseases affecting interstitium,Western Sydney LHD,2016-2018,4.7,3.9,5.7
Respiratory diseases affecting interstitium,Western Sydney LHD,2017-2019,4.6,3.9,5.5
Respiratory diseases affecting interstitium,Western Sydney LHD,2018-2020,4.7,4,5.6
Respiratory diseases affecting interstitium,Western Sydney LHD,2019-2021,5,4.2,5.9
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2001-2003,3.1,2,4.6
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2002-2004,2.9,1.8,4.4
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2003-2005,3.1,2,4.6
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2004-2006,3.2,2.1,4.7
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2005-2007,3.6,2.4,5.2
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2006-2008,3.8,2.6,5.4
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2007-2009,3.6,2.4,5.1
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2008-2010,4.5,3.2,6.2
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2009-2011,5,3.6,6.7
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2010-2012,6,4.5,7.8
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2011-2013,5.2,3.8,6.8
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2012-2014,4.6,3.4,6.2
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2013-2015,4.8,3.5,6.3
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2014-2016,4.9,3.7,6.5
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2015-2017,5.1,3.8,6.6
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2016-2018,4.4,3.3,5.8
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2017-2019,4.8,3.7,6.2
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2018-2020,4.8,3.7,6.2
Respiratory diseases affecting interstitium,Nepean Blue Mountains LHD,2019-2021,5,3.9,6.4
Respiratory diseases affecting interstitium,Northern Sydney LHD,2001-2003,2.9,2.3,3.6
Respiratory diseases affecting interstitium,Northern Sydney LHD,2002-2004,3.1,2.5,3.9
Respiratory diseases affecting interstitium,Northern Sydney LHD,2003-2005,3.2,2.6,4
Respiratory diseases affecting interstitium,Northern Sydney LHD,2004-2006,3.5,2.9,4.3
Respiratory diseases affecting interstitium,Northern Sydney LHD,2005-2007,3.5,2.8,4.2
Respiratory diseases affecting interstitium,Northern Sydney LHD,2006-2008,3.5,2.8,4.2
Respiratory diseases affecting interstitium,Northern Sydney LHD,2007-2009,3.7,3,4.5
Respiratory diseases affecting interstitium,Northern Sydney LHD,2008-2010,3.6,3,4.4
Respiratory diseases affecting interstitium,Northern Sydney LHD,2009-2011,3.7,3.1,4.4
Respiratory diseases affecting interstitium,Northern Sydney LHD,2010-2012,3.6,3,4.4
Respiratory diseases affecting interstitium,Northern Sydney LHD,2011-2013,3.6,3,4.3
Respiratory diseases affecting interstitium,Northern Sydney LHD,2012-2014,3.6,3,4.3
Respiratory diseases affecting interstitium,Northern Sydney LHD,2013-2015,4.1,3.5,4.9
Respiratory diseases affecting interstitium,Northern Sydney LHD,2014-2016,4.4,3.8,5.2
Respiratory diseases affecting interstitium,Northern Sydney LHD,2015-2017,4.5,3.8,5.2
Respiratory diseases affecting interstitium,Northern Sydney LHD,2016-2018,4,3.4,4.8
Respiratory diseases affecting interstitium,Northern Sydney LHD,2017-2019,4.1,3.4,4.8
Respiratory diseases affecting interstitium,Northern Sydney LHD,2018-2020,4.5,3.8,5.2
Respiratory diseases affecting interstitium,Northern Sydney LHD,2019-2021,4.6,4,5.3
Respiratory diseases affecting interstitium,Central Coast LHD,2001-2003,4.9,3.8,6.4
Respiratory diseases affecting interstitium,Central Coast LHD,2002-2004,4.2,3.1,5.5
Respiratory diseases affecting interstitium,Central Coast LHD,2003-2005,3.8,2.8,5.1
Respiratory diseases affecting interstitium,Central Coast LHD,2004-2006,4.5,3.4,5.9
Respiratory diseases affecting interstitium,Central Coast LHD,2005-2007,5.3,4.1,6.8
Respiratory diseases affecting interstitium,Central Coast LHD,2006-2008,5.3,4.2,6.7
Respiratory diseases affecting interstitium,Central Coast LHD,2007-2009,6.1,4.9,7.6
Respiratory diseases affecting interstitium,Central Coast LHD,2008-2010,6,4.8,7.4
Respiratory diseases affecting interstitium,Central Coast LHD,2009-2011,5.8,4.6,7.2
Respiratory diseases affecting interstitium,Central Coast LHD,2010-2012,4.5,3.4,5.7
Respiratory diseases affecting interstitium,Central Coast LHD,2011-2013,4.3,3.3,5.5
Respiratory diseases affecting interstitium,Central Coast LHD,2012-2014,5,3.9,6.3
Respiratory diseases affecting interstitium,Central Coast LHD,2013-2015,5.1,4,6.4
Respiratory diseases affecting interstitium,Central Coast LHD,2014-2016,5.2,4.1,6.5
Respiratory diseases affecting interstitium,Central Coast LHD,2015-2017,5.5,4.4,6.8
