disease type,sex,lhd,financial year,"rate per 100,000 population"
Chronic obstructive pulmonary disease,Males,Central Coast,2003/2004,377.1
Chronic obstructive pulmonary disease,Males,Central Coast,2004/2005,390.6
Chronic obstructive pulmonary disease,Males,Central Coast,2005/2006,368.5
Chronic obstructive pulmonary disease,Males,Central Coast,2006/2007,362.3
Chronic obstructive pulmonary disease,Males,Central Coast,2007/2008,360.6
Chronic obstructive pulmonary disease,Males,Central Coast,2008/2009,340.9
Chronic obstructive pulmonary disease,Males,Central Coast,2009/2010,313.1
Chronic obstructive pulmonary disease,Males,Central Coast,2010/2011,299.5
Chronic obstructive pulmonary disease,Males,Central Coast,2011/2012,356
Chronic obstructive pulmonary disease,Males,Central Coast,2012/2013,303.3
Chronic obstructive pulmonary disease,Males,Central Coast,2013/2014,264.3
Chronic obstructive pulmonary disease,Males,Central Coast,2014/2015,315.9
Chronic obstructive pulmonary disease,Males,Central Coast,2015/2016,288.7
Chronic obstructive pulmonary disease,Males,Central Coast,2016/2017,303.7
Chronic obstructive pulmonary disease,Males,Central Coast,2017/2018,327.5
Chronic obstructive pulmonary disease,Males,Central Coast,2018/2019,286.2
Chronic obstructive pulmonary disease,Males,Central Coast,2019/2020,249.5
Chronic obstructive pulmonary disease,Males,Central Coast,2020/2021,200.6
Chronic obstructive pulmonary disease,Males,Central Coast,2021/2022,171.3
Chronic obstructive pulmonary disease,Males,Hunter New England,2001/2002,319.9
Chronic obstructive pulmonary disease,Males,Hunter New England,2002/2003,323.3
Chronic obstructive pulmonary disease,Males,Hunter New England,2003/2004,312.4
Chronic obstructive pulmonary disease,Males,Hunter New England,2004/2005,283.1
Chronic obstructive pulmonary disease,Males,Hunter New England,2005/2006,311.4
Chronic obstructive pulmonary disease,Males,Hunter New England,2006/2007,290.8
Chronic obstructive pulmonary disease,Males,Hunter New England,2007/2008,318.8
Chronic obstructive pulmonary disease,Males,Hunter New England,2008/2009,303.9
Chronic obstructive pulmonary disease,Males,Hunter New England,2009/2010,291.8
Chronic obstructive pulmonary disease,Males,Hunter New England,2010/2011,308.6
Chronic obstructive pulmonary disease,Males,Hunter New England,2011/2012,323
Chronic obstructive pulmonary disease,Males,Hunter New England,2012/2013,291.6
Chronic obstructive pulmonary disease,Males,Hunter New England,2013/2014,277.4
Chronic obstructive pulmonary disease,Males,Hunter New England,2014/2015,279.4
Chronic obstructive pulmonary disease,Males,Hunter New England,2015/2016,293.3
Chronic obstructive pulmonary disease,Males,Hunter New England,2016/2017,316.8
Chronic obstructive pulmonary disease,Males,Hunter New England,2017/2018,284.2
Chronic obstructive pulmonary disease,Males,Hunter New England,2018/2019,258.6
Chronic obstructive pulmonary disease,Males,Hunter New England,2019/2020,244.2
Chronic obstructive pulmonary disease,Males,Hunter New England,2020/2021,179.3
Chronic obstructive pulmonary disease,Males,Hunter New England,2021/2022,172.1
Chronic obstructive pulmonary disease,Males,Northern NSW,2001/2002,277.8
Chronic obstructive pulmonary disease,Males,Northern NSW,2002/2003,311
Chronic obstructive pulmonary disease,Males,Northern NSW,2003/2004,279.4
Chronic obstructive pulmonary disease,Males,Northern NSW,2004/2005,256
Chronic obstructive pulmonary disease,Males,Northern NSW,2005/2006,275.5
Chronic obstructive pulmonary disease,Males,Northern NSW,2006/2007,248.4
Chronic obstructive pulmonary disease,Males,Northern NSW,2007/2008,288.3
Chronic obstructive pulmonary disease,Males,Northern NSW,2008/2009,334
Chronic obstructive pulmonary disease,Males,Northern NSW,2009/2010,278.4
Chronic obstructive pulmonary disease,Males,Northern NSW,2010/2011,299.7
Chronic obstructive pulmonary disease,Males,Northern NSW,2011/2012,299.1
Chronic obstructive pulmonary disease,Males,Northern NSW,2012/2013,308.4
Chronic obstructive pulmonary disease,Males,Northern NSW,2013/2014,289.4
Chronic obstructive pulmonary disease,Males,Northern NSW,2014/2015,308.5
Chronic obstructive pulmonary disease,Males,Northern NSW,2015/2016,285.6
Chronic obstructive pulmonary disease,Males,Northern NSW,2016/2017,293.6
Chronic obstructive pulmonary disease,Males,Northern NSW,2017/2018,256.1
Chronic obstructive pulmonary disease,Males,Northern NSW,2018/2019,277.1
Chronic obstructive pulmonary disease,Males,Northern NSW,2019/2020,282.9
Chronic obstructive pulmonary disease,Males,Northern NSW,2020/2021,191.2
Chronic obstructive pulmonary disease,Males,Northern NSW,2021/2022,174.2
Chronic obstructive pulmonary disease,Males,Mid North Coast,2001/2002,351.3
Chronic obstructive pulmonary disease,Males,Mid North Coast,2002/2003,351.9
Chronic obstructive pulmonary disease,Males,Mid North Coast,2003/2004,394.6
Chronic obstructive pulmonary disease,Males,Mid North Coast,2004/2005,366
Chronic obstructive pulmonary disease,Males,Mid North Coast,2005/2006,340.3
Chronic obstructive pulmonary disease,Males,Mid North Coast,2006/2007,292.5
Chronic obstructive pulmonary disease,Males,Mid North Coast,2007/2008,287
Chronic obstructive pulmonary disease,Males,Mid North Coast,2008/2009,318.7
Chronic obstructive pulmonary disease,Males,Mid North Coast,2009/2010,327.4
Chronic obstructive pulmonary disease,Males,Mid North Coast,2010/2011,303.2
Chronic obstructive pulmonary disease,Males,Mid North Coast,2011/2012,335
Chronic obstructive pulmonary disease,Males,Mid North Coast,2012/2013,322.3
Chronic obstructive pulmonary disease,Males,Mid North Coast,2013/2014,309.5
Chronic obstructive pulmonary disease,Males,Mid North Coast,2014/2015,303.9
Chronic obstructive pulmonary disease,Males,Mid North Coast,2015/2016,355.1
Chronic obstructive pulmonary disease,Males,Mid North Coast,2016/2017,331.8
Chronic obstructive pulmonary disease,Males,Mid North Coast,2017/2018,313.1
Chronic obstructive pulmonary disease,Males,Mid North Coast,2018/2019,264.9
Chronic obstructive pulmonary disease,Males,Mid North Coast,2019/2020,242.3
Chronic obstructive pulmonary disease,Males,Mid North Coast,2020/2021,181.9
Chronic obstructive pulmonary disease,Males,Mid North Coast,2021/2022,177.7
Chronic obstructive pulmonary disease,Males,Southern NSW,2001/2002,356.9
Chronic obstructive pulmonary disease,Males,Southern NSW,2002/2003,357.4
Chronic obstructive pulmonary disease,Males,Southern NSW,2003/2004,337.1
Chronic obstructive pulmonary disease,Males,Southern NSW,2004/2005,342.5
Chronic obstructive pulmonary disease,Males,Southern NSW,2005/2006,286.6
Chronic obstructive pulmonary disease,Males,Southern NSW,2006/2007,260.6
Chronic obstructive pulmonary disease,Males,Southern NSW,2007/2008,266.5
Chronic obstructive pulmonary disease,Males,Southern NSW,2008/2009,246.3
Chronic obstructive pulmonary disease,Males,Southern NSW,2009/2010,287.6
Chronic obstructive pulmonary disease,Males,Southern NSW,2010/2011,307.8
Chronic obstructive pulmonary disease,Males,Southern NSW,2011/2012,336.3
Chronic obstructive pulmonary disease,Males,Southern NSW,2012/2013,294
Chronic obstructive pulmonary disease,Males,Southern NSW,2013/2014,249.9
Chronic obstructive pulmonary disease,Males,Southern NSW,2014/2015,267
Chronic obstructive pulmonary disease,Males,Southern NSW,2015/2016,289.5
Chronic obstructive pulmonary disease,Males,Southern NSW,2016/2017,308.4
Chronic obstructive pulmonary disease,Males,Southern NSW,2017/2018,353.1
Chronic obstructive pulmonary disease,Males,Southern NSW,2018/2019,315.8
Chronic obstructive pulmonary disease,Males,Southern NSW,2019/2020,272.4
Chronic obstructive pulmonary disease,Males,Southern NSW,2020/2021,230
Chronic obstructive pulmonary disease,Males,Southern NSW,2021/2022,190.1
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2001/2002,634.5
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2002/2003,696.5
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2003/2004,726.4
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2004/2005,677
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2005/2006,567.4
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2006/2007,466.1
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2007/2008,537.2
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2008/2009,446.9
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2009/2010,435.1
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2010/2011,454.3
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2011/2012,428.5
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2012/2013,405.5
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2013/2014,409.9
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2014/2015,420.6
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2015/2016,429.9
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2016/2017,431
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2017/2018,431.7
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2018/2019,432.1
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2019/2020,395.6
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2020/2021,297.5
Chronic obstructive pulmonary disease,Males,Murrumbidgee,2021/2022,241.4
Chronic obstructive pulmonary disease,Males,Western NSW,2001/2002,580.2
Chronic obstructive pulmonary disease,Males,Western NSW,2002/2003,592.7
Chronic obstructive pulmonary disease,Males,Western NSW,2003/2004,563.3
Chronic obstructive pulmonary disease,Males,Western NSW,2004/2005,574.6
Chronic obstructive pulmonary disease,Males,Western NSW,2005/2006,551.9
Chronic obstructive pulmonary disease,Males,Western NSW,2006/2007,444.5
Chronic obstructive pulmonary disease,Males,Western NSW,2007/2008,478.9
Chronic obstructive pulmonary disease,Males,Western NSW,2008/2009,544.7
Chronic obstructive pulmonary disease,Males,Western NSW,2009/2010,483.9
Chronic obstructive pulmonary disease,Males,Western NSW,2010/2011,410.1
Chronic obstructive pulmonary disease,Males,Western NSW,2011/2012,409.7
Chronic obstructive pulmonary disease,Males,Western NSW,2012/2013,416.4
Chronic obstructive pulmonary disease,Males,Western NSW,2013/2014,374.1
Chronic obstructive pulmonary disease,Males,Western NSW,2014/2015,376.1
Chronic obstructive pulmonary disease,Males,Western NSW,2015/2016,375.6
Chronic obstructive pulmonary disease,Males,Western NSW,2016/2017,380.9
Chronic obstructive pulmonary disease,Males,Western NSW,2017/2018,391.3
Chronic obstructive pulmonary disease,Males,Western NSW,2018/2019,320.3
Chronic obstructive pulmonary disease,Males,Western NSW,2019/2020,346.5
Chronic obstructive pulmonary disease,Males,Western NSW,2020/2021,274.3
Chronic obstructive pulmonary disease,Males,Western NSW,2021/2022,225.6
Chronic obstructive pulmonary disease,Males,Far West,2001/2002,362.2
Chronic obstructive pulmonary disease,Males,Far West,2002/2003,550
Chronic obstructive pulmonary disease,Males,Far West,2003/2004,600.9
Chronic obstructive pulmonary disease,Males,Far West,2004/2005,480.7
Chronic obstructive pulmonary disease,Males,Far West,2005/2006,578.4
Chronic obstructive pulmonary disease,Males,Far West,2006/2007,519.4
Chronic obstructive pulmonary disease,Males,Far West,2007/2008,389.2
Chronic obstructive pulmonary disease,Males,Far West,2008/2009,453.8
Chronic obstructive pulmonary disease,Males,Far West,2009/2010,435.5
Chronic obstructive pulmonary disease,Males,Far West,2010/2011,588
Chronic obstructive pulmonary disease,Males,Far West,2011/2012,614.3
Chronic obstructive pulmonary disease,Males,Far West,2012/2013,489.5
Chronic obstructive pulmonary disease,Males,Far West,2013/2014,463.7
Chronic obstructive pulmonary disease,Males,Far West,2014/2015,536.3
Chronic obstructive pulmonary disease,Males,Far West,2015/2016,582.4
Chronic obstructive pulmonary disease,Males,Far West,2016/2017,592.3
Chronic obstructive pulmonary disease,Males,Far West,2017/2018,542.7
Chronic obstructive pulmonary disease,Males,Far West,2018/2019,564.4
Chronic obstructive pulmonary disease,Males,Far West,2019/2020,455.7
Chronic obstructive pulmonary disease,Males,Far West,2020/2021,476.2
Chronic obstructive pulmonary disease,Males,Far West,2021/2022,394.4
Chronic obstructive pulmonary disease,Females,Sydney,2001/2002,161
Chronic obstructive pulmonary disease,Females,Sydney,2002/2003,150.9
Chronic obstructive pulmonary disease,Females,Sydney,2003/2004,176
Chronic obstructive pulmonary disease,Females,Sydney,2004/2005,150.3
Chronic obstructive pulmonary disease,Females,Sydney,2005/2006,137.7
Chronic obstructive pulmonary disease,Females,Sydney,2006/2007,148.3
Chronic obstructive pulmonary disease,Females,Sydney,2007/2008,163.6
Chronic obstructive pulmonary disease,Females,Sydney,2008/2009,171.8
Chronic obstructive pulmonary disease,Females,Sydney,2009/2010,168.3
Chronic obstructive pulmonary disease,Females,Sydney,2010/2011,133.5
Chronic obstructive pulmonary disease,Females,Sydney,2011/2012,150.3
Chronic obstructive pulmonary disease,Females,Sydney,2012/2013,153.6
Chronic obstructive pulmonary disease,Females,Sydney,2013/2014,149.1
Chronic obstructive pulmonary disease,Females,Sydney,2014/2015,148.7
Chronic obstructive pulmonary disease,Females,Sydney,2015/2016,136.8
Chronic obstructive pulmonary disease,Females,Sydney,2016/2017,150.4
Chronic obstructive pulmonary disease,Females,Sydney,2017/2018,149.2
Chronic obstructive pulmonary disease,Females,Sydney,2018/2019,162.2
Chronic obstructive pulmonary disease,Females,Sydney,2019/2020,146.6
Chronic obstructive pulmonary disease,Females,Sydney,2020/2021,80.5
Chronic obstructive pulmonary disease,Females,Sydney,2021/2022,67.8
Chronic obstructive pulmonary disease,Females,South Western Sydney,2001/2002,222.3
Chronic obstructive pulmonary disease,Females,South Western Sydney,2002/2003,221
Chronic obstructive pulmonary disease,Females,South Western Sydney,2003/2004,230.6
Chronic obstructive pulmonary disease,Females,South Western Sydney,2004/2005,216.5
Chronic obstructive pulmonary disease,Females,South Western Sydney,2005/2006,202.9
Chronic obstructive pulmonary disease,Females,South Western Sydney,2006/2007,203.5
Chronic obstructive pulmonary disease,Females,South Western Sydney,2007/2008,243.3
Chronic obstructive pulmonary disease,Females,South Western Sydney,2008/2009,238.7
Chronic obstructive pulmonary disease,Females,South Western Sydney,2009/2010,219
Chronic obstructive pulmonary disease,Females,South Western Sydney,2010/2011,190.1
Chronic obstructive pulmonary disease,Females,South Western Sydney,2011/2012,233.4
Chronic obstructive pulmonary disease,Females,South Western Sydney,2012/2013,208.4
Chronic obstructive pulmonary disease,Females,South Western Sydney,2013/2014,195
Chronic obstructive pulmonary disease,Females,South Western Sydney,2014/2015,191.1
Chronic obstructive pulmonary disease,Females,South Western Sydney,2015/2016,213.2
Chronic obstructive pulmonary disease,Females,South Western Sydney,2016/2017,221
Chronic obstructive pulmonary disease,Females,South Western Sydney,2017/2018,229.3
Chronic obstructive pulmonary disease,Females,South Western Sydney,2018/2019,215.7
Chronic obstructive pulmonary disease,Females,South Western Sydney,2019/2020,189.2
Chronic obstructive pulmonary disease,Females,South Western Sydney,2020/2021,113.5
Chronic obstructive pulmonary disease,Females,South Western Sydney,2021/2022,105.2
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2001/2002,151.6
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2002/2003,138.2
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2003/2004,147.3
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2004/2005,136.4
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2005/2006,126.7
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2006/2007,115.3
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2007/2008,130
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2008/2009,131.2
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2009/2010,110.5
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2010/2011,116.1
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2011/2012,134.3
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2012/2013,121.5
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2013/2014,122.7
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2014/2015,123.3
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2015/2016,125.6
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2016/2017,122.2
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2017/2018,119.1
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2018/2019,117.9
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2019/2020,105.7
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2020/2021,65
Chronic obstructive pulmonary disease,Females,South Eastern Sydney,2021/2022,62.4
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2001/2002,190.9
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2002/2003,203.6
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2003/2004,220.2
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2004/2005,203.5
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2005/2006,202.8
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2006/2007,199.4
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2007/2008,194.9
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2008/2009,198.6
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2009/2010,234.9
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2010/2011,222
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2011/2012,229.9
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2012/2013,235.7
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2013/2014,229.4
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2014/2015,248.2
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2015/2016,233
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2016/2017,242.9
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2017/2018,254.9
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2018/2019,251.7
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2019/2020,240.3
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2020/2021,168.2
Chronic obstructive pulmonary disease,Females,Illawarra Shoalhaven,2021/2022,158.6
Chronic obstructive pulmonary disease,Females,Western Sydney,2001/2002,199.8
Chronic obstructive pulmonary disease,Females,Western Sydney,2002/2003,188.3
Chronic obstructive pulmonary disease,Females,Western Sydney,2003/2004,192.6
Chronic obstructive pulmonary disease,Females,Western Sydney,2004/2005,173.3
Chronic obstructive pulmonary disease,Females,Western Sydney,2005/2006,171.6
Chronic obstructive pulmonary disease,Females,Western Sydney,2006/2007,182.9
Chronic obstructive pulmonary disease,Females,Western Sydney,2007/2008,168.7
Chronic obstructive pulmonary disease,Females,Western Sydney,2008/2009,203.3
Chronic obstructive pulmonary disease,Females,Western Sydney,2009/2010,185.7
Chronic obstructive pulmonary disease,Females,Western Sydney,2010/2011,198.4
Chronic obstructive pulmonary disease,Females,Western Sydney,2011/2012,195.4
Chronic obstructive pulmonary disease,Females,Western Sydney,2012/2013,203.8
Chronic obstructive pulmonary disease,Females,Western Sydney,2013/2014,199.2
Chronic obstructive pulmonary disease,Females,Western Sydney,2014/2015,207.1
Chronic obstructive pulmonary disease,Females,Western Sydney,2015/2016,218.4
Chronic obstructive pulmonary disease,Females,Western Sydney,2016/2017,211.8
Chronic obstructive pulmonary disease,Females,Western Sydney,2017/2018,217.1
Chronic obstructive pulmonary disease,Females,Western Sydney,2018/2019,208.9
Chronic obstructive pulmonary disease,Females,Western Sydney,2019/2020,193.5
Chronic obstructive pulmonary disease,Females,Western Sydney,2020/2021,131.7
Chronic obstructive pulmonary disease,Females,Western Sydney,2021/2022,118.9
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2001/2002,196.5
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2002/2003,237.8
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2003/2004,222.7
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2004/2005,239.6
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2005/2006,222.2
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2006/2007,267.4
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2007/2008,227.9
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2008/2009,243.7
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2009/2010,222.3
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2010/2011,244.9
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2011/2012,238.3
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2012/2013,221.9
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2013/2014,235.6
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2014/2015,241.1
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2015/2016,237.6
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2016/2017,277.6
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2017/2018,271.7
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2018/2019,247.4
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2019/2020,209.6
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2020/2021,141
Chronic obstructive pulmonary disease,Females,Nepean Blue Mountains,2021/2022,122.5
Chronic obstructive pulmonary disease,Females,Northern Sydney,2001/2002,127.8
Chronic obstructive pulmonary disease,Females,Northern Sydney,2002/2003,112.8
Chronic obstructive pulmonary disease,Females,Northern Sydney,2003/2004,106.9
Chronic obstructive pulmonary disease,Females,Northern Sydney,2004/2005,104.7
Chronic obstructive pulmonary disease,Females,Northern Sydney,2005/2006,96.1
Chronic obstructive pulmonary disease,Females,Northern Sydney,2006/2007,91.7
Chronic obstructive pulmonary disease,Females,Northern Sydney,2007/2008,111.5
Chronic obstructive pulmonary disease,Females,Northern Sydney,2008/2009,104.3
Chronic obstructive pulmonary disease,Females,Northern Sydney,2009/2010,106.4
Chronic obstructive pulmonary disease,Females,Northern Sydney,2010/2011,113.3
Chronic obstructive pulmonary disease,Females,Northern Sydney,2011/2012,116.7
Chronic obstructive pulmonary disease,Females,Northern Sydney,2012/2013,105.4
Chronic obstructive pulmonary disease,Females,Northern Sydney,2013/2014,106.9
Chronic obstructive pulmonary disease,Females,Northern Sydney,2014/2015,120.8
Chronic obstructive pulmonary disease,Females,Northern Sydney,2015/2016,116
Chronic obstructive pulmonary disease,Females,Northern Sydney,2016/2017,109.3
Chronic obstructive pulmonary disease,Females,Northern Sydney,2017/2018,102.9
Chronic obstructive pulmonary disease,Females,Northern Sydney,2018/2019,93.4
Chronic obstructive pulmonary disease,Females,Northern Sydney,2019/2020,78.9
Chronic obstructive pulmonary disease,Females,Northern Sydney,2020/2021,58.1
Chronic obstructive pulmonary disease,Females,Northern Sydney,2021/2022,56.1
Chronic obstructive pulmonary disease,Females,Central Coast,2001/2002,235.4
Chronic obstructive pulmonary disease,Females,Central Coast,2002/2003,228.1
Chronic obstructive pulmonary disease,Females,Central Coast,2003/2004,219
Chronic obstructive pulmonary disease,Females,Central Coast,2004/2005,251.2
Chronic obstructive pulmonary disease,Females,Central Coast,2005/2006,237.8
Chronic obstructive pulmonary disease,Females,Central Coast,2006/2007,254.3
Chronic obstructive pulmonary disease,Females,Central Coast,2007/2008,274
Chronic obstructive pulmonary disease,Females,Central Coast,2008/2009,275.5
Chronic obstructive pulmonary disease,Females,Central Coast,2009/2010,263.1
Chronic obstructive pulmonary disease,Females,Central Coast,2010/2011,284.7
Chronic obstructive pulmonary disease,Females,Central Coast,2011/2012,292.8
Chronic obstructive pulmonary disease,Females,Central Coast,2012/2013,242.5
Chronic obstructive pulmonary disease,Females,Central Coast,2013/2014,283.6
Chronic obstructive pulmonary disease,Females,Central Coast,2014/2015,277
Chronic obstructive pulmonary disease,Females,Central Coast,2015/2016,301.9
Chronic obstructive pulmonary disease,Females,Central Coast,2016/2017,312.5
Chronic obstructive pulmonary disease,Females,Central Coast,2017/2018,298.9
Chronic obstructive pulmonary disease,Females,Central Coast,2018/2019,307.8
Chronic obstructive pulmonary disease,Females,Central Coast,2019/2020,273.4
Chronic obstructive pulmonary disease,Females,Central Coast,2020/2021,204.3
Chronic obstructive pulmonary disease,Females,Central Coast,2021/2022,173.6
Chronic obstructive pulmonary disease,Females,Hunter New England,2001/2002,210.8
Chronic obstructive pulmonary disease,Females,Hunter New England,2002/2003,212.2
Chronic obstructive pulmonary disease,Females,Hunter New England,2003/2004,207.4
Chronic obstructive pulmonary disease,Females,Hunter New England,2004/2005,199.7
Chronic obstructive pulmonary disease,Females,Hunter New England,2005/2006,188.4
Chronic obstructive pulmonary disease,Females,Hunter New England,2006/2007,193
Chronic obstructive pulmonary disease,Females,Hunter New England,2007/2008,226.4
Chronic obstructive pulmonary disease,Females,Hunter New England,2008/2009,212
Chronic obstructive pulmonary disease,Females,Hunter New England,2009/2010,234.3
Chronic obstructive pulmonary disease,Females,Hunter New England,2010/2011,232.5
Chronic obstructive pulmonary disease,Females,Hunter New England,2011/2012,232
Chronic obstructive pulmonary disease,Females,Hunter New England,2012/2013,248.6
Chronic obstructive pulmonary disease,Females,Hunter New England,2013/2014,228.4
Chronic obstructive pulmonary disease,Females,Hunter New England,2014/2015,239.3
Chronic obstructive pulmonary disease,Females,Hunter New England,2015/2016,235
Chronic obstructive pulmonary disease,Females,Hunter New England,2016/2017,256.4
Chronic obstructive pulmonary disease,Females,Hunter New England,2017/2018,256.1
Chronic obstructive pulmonary disease,Females,Hunter New England,2018/2019,240.1
Chronic obstructive pulmonary disease,Females,Hunter New England,2019/2020,217
Chronic obstructive pulmonary disease,Females,Hunter New England,2020/2021,147.5
Chronic obstructive pulmonary disease,Females,Hunter New England,2021/2022,150
Chronic obstructive pulmonary disease,Females,Northern NSW,2001/2002,180
Chronic obstructive pulmonary disease,Females,Northern NSW,2002/2003,195
Chronic obstructive pulmonary disease,Females,Northern NSW,2003/2004,241.3
Chronic obstructive pulmonary disease,Females,Northern NSW,2004/2005,210
Chronic obstructive pulmonary disease,Females,Northern NSW,2005/2006,237.5
Chronic obstructive pulmonary disease,Females,Northern NSW,2006/2007,190.6
Chronic obstructive pulmonary disease,Females,Northern NSW,2007/2008,212.6
Chronic obstructive pulmonary disease,Females,Northern NSW,2008/2009,245.7
Chronic obstructive pulmonary disease,Females,Northern NSW,2009/2010,233.8
Chronic obstructive pulmonary disease,Females,Northern NSW,2010/2011,238.8
Chronic obstructive pulmonary disease,Females,Northern NSW,2011/2012,231.4
Chronic obstructive pulmonary disease,Females,Northern NSW,2012/2013,263.7
Chronic obstructive pulmonary disease,Females,Northern NSW,2013/2014,248.5
Chronic obstructive pulmonary disease,Females,Northern NSW,2014/2015,228.1
Chronic obstructive pulmonary disease,Females,Northern NSW,2015/2016,230.1
Chronic obstructive pulmonary disease,Females,Northern NSW,2016/2017,250.5
Chronic obstructive pulmonary disease,Females,Northern NSW,2017/2018,272.3
Chronic obstructive pulmonary disease,Females,Northern NSW,2018/2019,248.2
Chronic obstructive pulmonary disease,Females,Northern NSW,2019/2020,229.6
Chronic obstructive pulmonary disease,Females,Northern NSW,2020/2021,158.8
Chronic obstructive pulmonary disease,Females,Northern NSW,2021/2022,164.4
Chronic obstructive pulmonary disease,Females,Mid North Coast,2001/2002,268.1
Chronic obstructive pulmonary disease,Females,Mid North Coast,2002/2003,230.2
Chronic obstructive pulmonary disease,Females,Mid North Coast,2003/2004,244.9
Chronic obstructive pulmonary disease,Females,Mid North Coast,2004/2005,206.8
Chronic obstructive pulmonary disease,Females,Mid North Coast,2005/2006,202
Chronic obstructive pulmonary disease,Females,Mid North Coast,2006/2007,169.9
Chronic obstructive pulmonary disease,Females,Mid North Coast,2007/2008,237.9
