"Acute respiratory infection hospitalisations by Acute respiratory infection, Age (years), Sex and LHD",,,,,,,
Acute respiratory infection,Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Other acute respiratory infection,All ages,Females,Central Coast LHD,Dec-13,217.8,196.4,240.9
Other acute respiratory infection,All ages,Females,Central Coast LHD,13/14,240.8,217.8,265.5
Other acute respiratory infection,All ages,Females,Central Coast LHD,14/15,315.1,288.3,343.7
Other acute respiratory infection,All ages,Females,Central Coast LHD,15/16,291.4,265.7,318.9
Other acute respiratory infection,All ages,Females,Central Coast LHD,16/17,295.9,270.1,323.5
Other acute respiratory infection,All ages,Females,Central Coast LHD,17/18,287.4,262,314.5
Other acute respiratory infection,All ages,Females,Central Coast LHD,18/19,334.3,306.7,363.7
Other acute respiratory infection,All ages,Females,Central Coast LHD,19/20,272.2,247.1,299.2
Other acute respiratory infection,All ages,Females,Central Coast LHD,20/21,253.1,228.6,279.4
Other acute respiratory infection,All ages,Females,Hunter New England LHD,1-Feb,298.7,282.1,316
Other acute respiratory infection,All ages,Females,Hunter New England LHD,2-Mar,304.3,287.6,321.7
Other acute respiratory infection,All ages,Females,Hunter New England LHD,3-Apr,313.1,296.2,330.7
Other acute respiratory infection,All ages,Females,Hunter New England LHD,4-May,291.9,275.6,308.9
Other acute respiratory infection,All ages,Females,Hunter New England LHD,5-Jun,297.2,280.8,314.3
Other acute respiratory infection,All ages,Females,Hunter New England LHD,6-Jul,280.6,264.7,297.2
Other acute respiratory infection,All ages,Females,Hunter New England LHD,7-Aug,331.5,314.4,349.3
Other acute respiratory infection,All ages,Females,Hunter New England LHD,8-Sep,281.3,265.7,297.6
Other acute respiratory infection,All ages,Females,Hunter New England LHD,9-Oct,260.4,245.5,275.9
Other acute respiratory infection,All ages,Females,Hunter New England LHD,10-Nov,288.7,273,305
Other acute respiratory infection,All ages,Females,Hunter New England LHD,11-Dec,295.8,280,312.3
Other acute respiratory infection,All ages,Females,Hunter New England LHD,Dec-13,276,260.8,291.9
Other acute respiratory infection,All ages,Females,Hunter New England LHD,13/14,303.5,287.5,320.2
Other acute respiratory infection,All ages,Females,Hunter New England LHD,14/15,285.5,270.1,301.6
Other acute respiratory infection,All ages,Females,Hunter New England LHD,15/16,298.7,282.9,315.1
Other acute respiratory infection,All ages,Females,Hunter New England LHD,16/17,322.7,306.4,339.7
Other acute respiratory infection,All ages,Females,Hunter New England LHD,17/18,318.8,302.6,335.6
Other acute respiratory infection,All ages,Females,Hunter New England LHD,18/19,306.9,290.9,323.5
Other acute respiratory infection,All ages,Females,Hunter New England LHD,19/20,241,226.9,255.8
Other acute respiratory infection,All ages,Females,Hunter New England LHD,20/21,189.1,176.3,202.5
Other acute respiratory infection,All ages,Females,Northern NSW LHD,1-Feb,407.5,372.8,444.5
Other acute respiratory infection,All ages,Females,Northern NSW LHD,2-Mar,373.9,341.4,408.6
Other acute respiratory infection,All ages,Females,Northern NSW LHD,3-Apr,411.6,377.1,448.2
Other acute respiratory infection,All ages,Females,Northern NSW LHD,4-May,335.1,303.8,368.7
Other acute respiratory infection,All ages,Females,Northern NSW LHD,5-Jun,374.9,341.9,410
Other acute respiratory infection,All ages,Females,Northern NSW LHD,6-Jul,325.9,295.3,358.8
Other acute respiratory infection,All ages,Females,Northern NSW LHD,7-Aug,426.1,391.3,463
Other acute respiratory infection,All ages,Females,Northern NSW LHD,8-Sep,418.2,384.2,454.4
Other acute respiratory infection,All ages,Females,Northern NSW LHD,9-Oct,417.3,383.3,453.5
Other acute respiratory infection,All ages,Females,Northern NSW LHD,10-Nov,426.4,392.1,462.8
Other acute respiratory infection,All ages,Females,Northern NSW LHD,11-Dec,363.8,332.5,397.3
Other acute respiratory infection,All ages,Females,Northern NSW LHD,Dec-13,368.9,337,402.9
Other acute respiratory infection,All ages,Females,Northern NSW LHD,13/14,342.9,312.1,375.7
Other acute respiratory infection,All ages,Females,Northern NSW LHD,14/15,379.9,347.1,414.9
Other acute respiratory infection,All ages,Females,Northern NSW LHD,15/16,420,385.5,456.6
Other acute respiratory infection,All ages,Females,Northern NSW LHD,16/17,377.4,345,411.9
Other acute respiratory infection,All ages,Females,Northern NSW LHD,17/18,371.6,339.2,406.2
Other acute respiratory infection,All ages,Females,Northern NSW LHD,18/19,390.6,357.1,426.2
Other acute respiratory infection,All ages,Females,Northern NSW LHD,19/20,292.2,263.5,323
Other acute respiratory infection,All ages,Females,Northern NSW LHD,20/21,258.8,231.5,288.2
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,1-Feb,384.7,344.1,428.5
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,2-Mar,325.6,289.6,364.7
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,3-Apr,364.6,325.7,406.8
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,4-May,358.7,319.6,401
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,5-Jun,298,262.9,336.3
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,6-Jul,345.4,307.9,386.2
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,7-Aug,402.1,361.3,446.1
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,8-Sep,366.6,328.4,408
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,9-Oct,309.4,274.8,347.1
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,10-Nov,335.3,299.6,373.9
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,11-Dec,316.1,282.2,352.8
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,Dec-13,249.4,219.2,282.6
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,13/14,335.6,300.1,374
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,14/15,276.8,244.9,311.6
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,15/16,288.8,255.7,324.9
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,16/17,347.2,311,386.3
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,17/18,287.5,254.3,323.6
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,18/19,338.2,302.3,377
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,19/20,236.5,206.6,269.5
Other acute respiratory infection,All ages,Females,Mid North Coast LHD,20/21,237.7,206.8,271.7
Other acute respiratory infection,All ages,Females,Southern NSW LHD,1-Feb,370.3,330.5,413.5
Other acute respiratory infection,All ages,Females,Southern NSW LHD,2-Mar,325.1,287.8,365.8
Other acute respiratory infection,All ages,Females,Southern NSW LHD,3-Apr,345.6,307.3,387.3
Other acute respiratory infection,All ages,Females,Southern NSW LHD,4-May,346.1,307.8,387.9
Other acute respiratory infection,All ages,Females,Southern NSW LHD,5-Jun,347.1,308.9,388.7
Other acute respiratory infection,All ages,Females,Southern NSW LHD,6-Jul,369.3,329.8,412.2
Other acute respiratory infection,All ages,Females,Southern NSW LHD,7-Aug,322.7,286.3,362.4
Other acute respiratory infection,All ages,Females,Southern NSW LHD,8-Sep,368.7,329.8,410.7
Other acute respiratory infection,All ages,Females,Southern NSW LHD,9-Oct,308.9,273.3,347.6
Other acute respiratory infection,All ages,Females,Southern NSW LHD,10-Nov,327.2,291.1,366.4
Other acute respiratory infection,All ages,Females,Southern NSW LHD,11-Dec,365.9,328.2,406.8
Other acute respiratory infection,All ages,Females,Southern NSW LHD,Dec-13,342.6,306.6,381.7
Other acute respiratory infection,All ages,Females,Southern NSW LHD,13/14,318.9,283.5,357.4
Other acute respiratory infection,All ages,Females,Southern NSW LHD,14/15,321.7,286.6,359.7
Other acute respiratory infection,All ages,Females,Southern NSW LHD,15/16,361.2,323.3,402.2
Other acute respiratory infection,All ages,Females,Southern NSW LHD,16/17,343.3,306.7,382.9
Other acute respiratory infection,All ages,Females,Southern NSW LHD,17/18,327.5,291.9,366.2
Other acute respiratory infection,All ages,Females,Southern NSW LHD,18/19,340.3,303.5,380.1
Other acute respiratory infection,All ages,Females,Southern NSW LHD,19/20,256.9,225.1,291.7
Other acute respiratory infection,All ages,Females,Southern NSW LHD,20/21,267,234.3,302.7
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,1-Feb,477.1,439.2,517.4
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,2-Mar,464.6,427.2,504.3
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,3-Apr,482.5,444.1,523.4
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,4-May,474.1,435.8,514.9
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,5-Jun,464.1,425.9,504.8
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,6-Jul,443.5,406.4,483.1
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,7-Aug,512.2,472.7,554.1
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,8-Sep,482.1,443.6,523
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,9-Oct,430.8,394.8,469.4
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,10-Nov,431.4,394.9,470.4
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,11-Dec,456,418.6,495.9
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,Dec-13,401.3,366.7,438.4
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,13/14,424.6,388.6,463
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,14/15,386.1,352.3,422.3
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,15/16,450.4,413.4,489.8
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,16/17,587.3,544.9,632.2
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,17/18,530.5,490.4,573
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,18/19,605.3,561.8,651.2
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,19/20,420.8,384.8,459.3
Other acute respiratory infection,All ages,Females,Murrumbidgee LHD,20/21,335,302.5,369.9
Other acute respiratory infection,All ages,Females,Western NSW LHD,1-Feb,596.5,556.7,638.5
Other acute respiratory infection,All ages,Females,Western NSW LHD,2-Mar,546.1,507.8,586.6
Other acute respiratory infection,All ages,Females,Western NSW LHD,3-Apr,573.1,533.6,614.7
Other acute respiratory infection,All ages,Females,Western NSW LHD,4-May,491.9,455.1,530.8
Other acute respiratory infection,All ages,Females,Western NSW LHD,5-Jun,605.9,564.6,649.3
Other acute respiratory infection,All ages,Females,Western NSW LHD,6-Jul,472.9,436.6,511.4
Other acute respiratory infection,All ages,Females,Western NSW LHD,7-Aug,580.5,540.4,622.7
Other acute respiratory infection,All ages,Females,Western NSW LHD,8-Sep,477.8,441.8,515.9
Other acute respiratory infection,All ages,Females,Western NSW LHD,9-Oct,466.1,430.8,503.5
Other acute respiratory infection,All ages,Females,Western NSW LHD,10-Nov,458.2,423.4,495.1
Other acute respiratory infection,All ages,Females,Western NSW LHD,11-Dec,463.8,428.9,500.8
Other acute respiratory infection,All ages,Females,Western NSW LHD,Dec-13,433.8,400.3,469.4
Other acute respiratory infection,All ages,Females,Western NSW LHD,13/14,459.6,425,496.2
Other acute respiratory infection,All ages,Females,Western NSW LHD,14/15,419.1,386.3,453.9
Other acute respiratory infection,All ages,Females,Western NSW LHD,15/16,433.6,400.4,468.8
Other acute respiratory infection,All ages,Females,Western NSW LHD,16/17,546.5,508.9,586.2
Other acute respiratory infection,All ages,Females,Western NSW LHD,17/18,532.8,495.5,572.2
Other acute respiratory infection,All ages,Females,Western NSW LHD,18/19,512.7,475.6,552
Other acute respiratory infection,All ages,Females,Western NSW LHD,19/20,449,414.1,485.9
Other acute respiratory infection,All ages,Females,Western NSW LHD,20/21,299.4,270.9,330
Other acute respiratory infection,All ages,Females,All LHDs,1-Feb,241.4,236.2,246.8
Other acute respiratory infection,All ages,Females,All LHDs,2-Mar,234.9,229.7,240.2
Other acute respiratory infection,All ages,Females,All LHDs,3-Apr,244.5,239.2,249.9
Other acute respiratory infection,All ages,Females,All LHDs,4-May,235.9,230.7,241.2
Other acute respiratory infection,All ages,Females,All LHDs,5-Jun,251,245.7,256.4
Other acute respiratory infection,All ages,Females,All LHDs,6-Jul,249.3,244,254.6
Other acute respiratory infection,All ages,Females,All LHDs,7-Aug,281.6,276,287.2
Other acute respiratory infection,All ages,Females,All LHDs,8-Sep,267.2,261.9,272.6
Other acute respiratory infection,All ages,Females,All LHDs,9-Oct,249,243.9,254.2
Other acute respiratory infection,All ages,Females,All LHDs,10-Nov,270.5,265.1,275.8
Other acute respiratory infection,All ages,Females,All LHDs,11-Dec,282,276.6,287.4
Other acute respiratory infection,All ages,Females,All LHDs,Dec-13,267.5,262.3,272.8
Other acute respiratory infection,All ages,Females,All LHDs,13/14,282,276.7,287.4
Other acute respiratory infection,All ages,Females,All LHDs,14/15,292.3,286.9,297.7
Other acute respiratory infection,All ages,Females,All LHDs,15/16,289.4,284,294.8
Other acute respiratory infection,All ages,Females,All LHDs,16/17,313.1,307.6,318.6
Other acute respiratory infection,All ages,Females,All LHDs,17/18,306.2,300.8,311.7
Other acute respiratory infection,All ages,Females,All LHDs,18/19,330.8,325.1,336.5
Other acute respiratory infection,All ages,Females,All LHDs,19/20,260.9,255.9,266
Other acute respiratory infection,All ages,Females,All LHDs,20/21,236,231.1,240.9
Other acute respiratory infection,All ages,Persons,Sydney LHD,1-Feb,200.8,187.8,214.4
Other acute respiratory infection,All ages,Persons,Sydney LHD,2-Mar,201.2,188.3,214.8
Other acute respiratory infection,All ages,Persons,Sydney LHD,3-Apr,206.8,193.8,220.5
Other acute respiratory infection,All ages,Persons,Sydney LHD,4-May,189.3,176.9,202.3
Other acute respiratory infection,All ages,Persons,Sydney LHD,5-Jun,182.7,170.6,195.4
Other acute respiratory infection,All ages,Persons,Sydney LHD,6-Jul,214.1,201.3,227.6
Other acute respiratory infection,All ages,Persons,Sydney LHD,7-Aug,227.5,214.5,241
Other acute respiratory infection,All ages,Persons,Sydney LHD,8-Sep,240.7,227.5,254.5
Other acute respiratory infection,All ages,Persons,Sydney LHD,9-Oct,234.9,222,248.3
Other acute respiratory infection,All ages,Persons,Sydney LHD,10-Nov,234,221.2,247.3
Other acute respiratory infection,All ages,Persons,Sydney LHD,11-Dec,254,240.8,267.7
Other acute respiratory infection,All ages,Persons,Sydney LHD,Dec-13,255.8,242.8,269.3
Other acute respiratory infection,All ages,Persons,Sydney LHD,13/14,267.7,254.6,281.4
Other acute respiratory infection,All ages,Persons,Sydney LHD,14/15,253.3,240.6,266.4
Other acute respiratory infection,All ages,Persons,Sydney LHD,15/16,272.8,259.8,286.4
Other acute respiratory infection,All ages,Persons,Sydney LHD,16/17,268.3,255.4,281.7
Other acute respiratory infection,All ages,Persons,Sydney LHD,17/18,273.9,261,287.2
Other acute respiratory infection,All ages,Persons,Sydney LHD,18/19,287,273.8,300.6
Other acute respiratory infection,All ages,Persons,Sydney LHD,19/20,210.8,199.5,222.5
Other acute respiratory infection,All ages,Persons,Sydney LHD,20/21,175.8,165.3,186.8
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,1-Feb,227.2,217.1,237.6
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,2-Mar,231.1,220.8,241.7
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,3-Apr,247.6,237,258.6
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,4-May,240.2,229.8,250.9
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,5-Jun,265.8,254.9,277.1
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,6-Jul,289.6,278.3,301.3
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,7-Aug,320.3,308.6,332.5
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,8-Sep,293.6,282.4,305.2
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,9-Oct,305.4,294.1,317.1
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,10-Nov,340.1,328.2,352.3
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,11-Dec,389.9,377.2,402.9
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,Dec-13,378.5,366.2,391.2
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,13/14,391.3,378.9,404.1
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,14/15,401.9,389.4,414.7
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,15/16,387.8,375.8,400.2
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,16/17,427,414.5,439.9
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,17/18,448.8,436.1,461.8
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,18/19,462.7,449.9,475.7
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,19/20,372.4,361,384
Other acute respiratory infection,All ages,Persons,South Western Sydney LHD,20/21,319.5,309,330.3
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,1-Feb,162.4,153.1,172.1
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,2-Mar,167.6,158.2,177.4
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,3-Apr,174.2,164.6,184.1
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,4-May,195,184.9,205.5
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,5-Jun,222.9,212.2,234.1
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,6-Jul,211.8,201.5,222.5
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,7-Aug,245.1,234.2,256.5
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,8-Sep,224.2,213.8,234.9
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,9-Oct,218.6,208.5,229.1
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,10-Nov,228.1,217.8,238.8
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,11-Dec,241.5,231,252.3
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,Dec-13,227,216.9,237.4
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,13/14,237.6,227.3,248.2
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,14/15,241.6,231.3,252.3
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,15/16,230.8,220.7,241.2
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,16/17,221.7,211.9,231.9
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,17/18,209.7,200.1,219.5
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,18/19,255.1,244.6,266
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,19/20,216.3,206.6,226.3
Other acute respiratory infection,All ages,Persons,South Eastern Sydney LHD,20/21,180.1,171,189.5
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,1-Feb,205.5,190.9,220.9
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,2-Mar,181,167.4,195.5
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,3-Apr,205.4,190.8,220.8
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,4-May,200,185.6,215.3
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,5-Jun,214.7,199.7,230.6
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,6-Jul,231,215.5,247.3
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,7-Aug,260.7,244.3,277.8
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,8-Sep,249.5,233.6,266.1
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,9-Oct,201.1,187.1,216
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,10-Nov,219.3,204.8,234.6
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,11-Dec,216,201.5,231.2
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,Dec-13,194.9,181.1,209.4
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,13/14,196.9,183.2,211.4
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,14/15,219.4,205,234.6
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,15/16,186.9,173.6,200.9
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,16/17,212.1,197.9,227.1
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,17/18,202.6,188.7,217.2
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,18/19,224.6,209.9,240
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,19/20,189.3,175.9,203.3
Other acute respiratory infection,All ages,Persons,Illawarra Shoalhaven LHD,20/21,161.2,148.7,174.5
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,1-Feb,199.3,189.2,209.7
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,2-Mar,179.6,170,189.7
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,3-Apr,186.3,176.5,196.5
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,4-May,169.2,159.9,178.8
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,5-Jun,179.7,170.2,189.5
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,6-Jul,205,195,215.4
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,7-Aug,241.9,231,253.1
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,8-Sep,222.8,212.6,233.3
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,9-Oct,203.3,193.8,213.3
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,10-Nov,223.6,213.6,233.9
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,11-Dec,245.8,235.5,256.5
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,Dec-13,270.4,259.7,281.4
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,13/14,301.3,290.2,312.7
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,14/15,322.3,310.9,334
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,15/16,298.6,287.8,309.6
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,16/17,322,311,333.3
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,17/18,303.6,293.1,314.4
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,18/19,354.6,343.3,366.2
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,19/20,280.4,270.5,290.6
Other acute respiratory infection,All ages,Persons,Western Sydney LHD,20/21,346.2,335.2,357.5
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,1-Feb,307.2,289.2,326.1
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,2-Mar,274.8,257.6,292.9
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,3-Apr,292.5,274.7,311.3
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,4-May,323.3,304.2,343.3
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,5-Jun,328.5,309.3,348.5
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,6-Jul,359,339,379.8
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,7-Aug,420.3,398.8,442.7
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,8-Sep,386.6,366,408
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,9-Oct,344.5,325.3,364.6
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,10-Nov,366.2,346.4,386.8
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,11-Dec,341.8,322.8,361.6
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,Dec-13,377,357.2,397.7
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,13/14,381.9,362,402.5
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,14/15,358.8,339.7,378.7
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,15/16,364.1,345,384
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,16/17,393.3,373.5,413.8
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,17/18,446.8,425.8,468.6
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,18/19,455.6,434.5,477.5
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,19/20,363.9,345,383.5
Other acute respiratory infection,All ages,Persons,Nepean Blue Mountains LHD,20/21,323,305.1,341.6
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,1-Feb,169.3,160,179
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,2-Mar,150,141.3,159.1
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,3-Apr,155.4,146.6,164.6
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,4-May,172.1,162.9,181.8
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,5-Jun,181.8,172.3,191.7
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,6-Jul,200.6,190.7,210.8
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,7-Aug,197.9,188.2,207.9
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,8-Sep,209.3,199.5,219.5
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,9-Oct,197.5,188,207.3
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,10-Nov,237.8,227.5,248.4
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,11-Dec,229.3,219.3,239.6
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,Dec-13,226.6,216.7,236.8
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,13/14,215.3,205.8,225.2
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,14/15,250.2,240,260.8
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,15/16,253.2,242.9,263.8
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,16/17,254.7,244.4,265.3
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,17/18,238.6,228.7,248.9
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,18/19,283,272.1,294.3
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,19/20,219.4,209.8,229.4
Other acute respiratory infection,All ages,Persons,Northern Sydney LHD,20/21,184.8,175.7,194.3
Other acute respiratory infection,All ages,Persons,Central Coast LHD,1-Feb,207,191.1,223.8
Other acute respiratory infection,All ages,Persons,Central Coast LHD,2-Mar,231.7,214.9,249.5
Other acute respiratory infection,All ages,Persons,Central Coast LHD,3-Apr,228.2,211.5,245.8
Other acute respiratory infection,All ages,Persons,Central Coast LHD,4-May,224,207.4,241.5
Other acute respiratory infection,All ages,Persons,Central Coast LHD,5-Jun,245.2,227.9,263.4
Other acute respiratory infection,All ages,Persons,Central Coast LHD,6-Jul,235,218.2,252.7
Other acute respiratory infection,All ages,Persons,Central Coast LHD,7-Aug,262,244.6,280.2
Other acute respiratory infection,All ages,Persons,Central Coast LHD,8-Sep,251.3,234.4,269.1
Other acute respiratory infection,All ages,Persons,Central Coast LHD,9-Oct,265.8,248.4,284.2
Other acute respiratory infection,All ages,Persons,Central Coast LHD,10-Nov,246.4,229.9,263.8
Other acute respiratory infection,All ages,Persons,Central Coast LHD,11-Dec,250.1,233.5,267.6
Other acute respiratory infection,All ages,Persons,Central Coast LHD,Dec-13,244.5,228.3,261.7
Other acute respiratory infection,All ages,Persons,Central Coast LHD,13/14,266.5,249.3,284.6
Other acute respiratory infection,All ages,Persons,Central Coast LHD,14/15,325.7,306.4,345.8
