year-month,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2020-08,South Eastern Sydney,11.4,14.5,13.0
2020-09,South Eastern Sydney,12.2,10.9,11.6
2020-10,South Eastern Sydney,11.0,11.1,11.1
2020-11,South Eastern Sydney,14.6,16.0,15.4
2020-12,South Eastern Sydney,12.1,12.9,12.5
2021-01,South Eastern Sydney,8.9,9.6,9.3
2021-02,South Eastern Sydney,18.7,14.4,16.5
2021-03,South Eastern Sydney,15.5,18.9,17.3
2021-04,South Eastern Sydney,17.0,19.4,18.3
2021-05,South Eastern Sydney,23.7,19.8,21.8
2021-06,South Eastern Sydney,22.2,16.4,19.3
2021-07,South Eastern Sydney,10.6,9.7,10.2
2021-08,South Eastern Sydney,8.5,7.8,8.2
2021-09,South Eastern Sydney,6.6,4.2,5.4
2021-10,South Eastern Sydney,8.5,3.8,6.2
2021-11,South Eastern Sydney,8.6,8.6,8.7
2021-12,South Eastern Sydney,10.5,10.8,10.7
2022-01,South Eastern Sydney,9.7,7.0,8.4
2022-02,South Eastern Sydney,9.4,10.1,9.8
2022-03,South Eastern Sydney,20.4,22.8,21.8
2022-04,South Eastern Sydney,26.8,24.2,25.6
2022-05,South Eastern Sydney,30.7,31.9,31.4
2022-06,South Eastern Sydney,28.8,16.5,22.7
2022-07,South Eastern Sydney,16.4,14.0,15.2
2022-08,South Eastern Sydney,29.7,20.2,25.1
2022-09,South Eastern Sydney,20.7,18.6,19.7
2022-10,South Eastern Sydney,17.8,14.9,16.4
2022-11,South Eastern Sydney,15.7,15.0,15.4
2022-12,South Eastern Sydney,12.8,12.9,12.9
2023-01,South Eastern Sydney,11.3,5.9,8.6
2023-02,South Eastern Sydney,19.6,21.8,20.8
2023-03,South Eastern Sydney,15.9,17.8,16.9
2023-04,South Eastern Sydney,22.3,16.6,19.5
2023-05,South Eastern Sydney,23.6,19.3,21.6
2023-06,South Eastern Sydney,12.5,13.8,13.2
2023-07,South Eastern Sydney,13.7,14.846153846153847,14.338461538461537
2023-08,South Eastern Sydney,14.9,15.892307692307693,15.476923076923075
2023-09,South Eastern Sydney,16.1,16.93846153846154,16.615384615384613
2023-10,South Eastern Sydney,17.3,17.984615384615385,17.753846153846155
2023-11,South Eastern Sydney,18.5,19.03076923076923,18.89230769230769
2023-12,South Eastern Sydney,19.700000000000003,20.076923076923077,20.03076923076923
2024-01,South Eastern Sydney,20.900000000000002,21.123076923076923,21.16923076923077
2024-02,South Eastern Sydney,22.1,22.16923076923077,22.307692307692307
2024-03,South Eastern Sydney,23.3,23.215384615384615,23.446153846153845
2024-04,South Eastern Sydney,24.5,24.26153846153846,24.584615384615383
2024-05,South Eastern Sydney,25.700000000000003,25.307692307692307,25.723076923076924
2024-06,South Eastern Sydney,26.900000000000002,26.353846153846153,26.86153846153846
2014-07,South Western Sydney,28.1,27.4,28.0
2014-08,South Western Sydney,32.2,25.3,29.0
2014-09,South Western Sydney,23.7,25.9,24.9
2014-10,South Western Sydney,24.0,24.3,24.1
2014-11,South Western Sydney,19.9,22.9,21.5
2014-12,South Western Sydney,23.8,25.0,24.4
2015-01,South Western Sydney,17.6,23.0,20.3
2015-02,South Western Sydney,28.6,38.3,33.7
2015-03,South Western Sydney,32.6,39.2,36.1
2015-04,South Western Sydney,29.4,29.8,29.8
2015-05,South Western Sydney,44.9,38.4,41.8
2015-06,South Western Sydney,34.9,42.6,39.0
2015-07,South Western Sydney,29.7,28.5,29.3
2015-08,South Western Sydney,31.3,30.1,30.8
2015-09,South Western Sydney,29.7,26.7,28.4
2015-10,South Western Sydney,22.5,31.2,27.2
2015-11,South Western Sydney,23.4,29.5,26.6
2015-12,South Western Sydney,20.8,20.7,20.9
2016-01,South Western Sydney,19.2,20.7,20.1
2016-02,South Western Sydney,32.1,39.5,36.1
2016-03,South Western Sydney,35.9,34.8,35.4
2016-04,South Western Sydney,23.4,28.2,26.0
2016-05,South Western Sydney,32.0,40.8,36.7
2016-06,South Western Sydney,33.0,33.0,33.1
2016-07,South Western Sydney,24.5,22.7,23.7
2016-08,South Western Sydney,27.8,25.1,26.6
2016-09,South Western Sydney,28.6,27.0,28.1
2016-10,South Western Sydney,22.4,22.1,22.3
2016-11,South Western Sydney,23.3,22.1,22.9
2016-12,South Western Sydney,23.8,22.4,23.3
2017-01,South Western Sydney,16.5,15.4,16.1
2017-02,South Western Sydney,28.3,27.7,28.1
2017-03,South Western Sydney,28.1,27.0,27.7
2017-04,South Western Sydney,31.8,31.6,31.9
2017-05,South Western Sydney,37.5,42.2,40.1
2017-06,South Western Sydney,36.9,34.6,35.9
2017-07,South Western Sydney,28.2,29.7,29.2
2017-08,South Western Sydney,25.0,19.1,22.1
2017-09,South Western Sydney,23.6,17.4,20.6
2017-10,South Western Sydney,21.2,19.7,20.6
2017-11,South Western Sydney,19.4,22.8,21.2
2017-12,South Western Sydney,15.2,16.4,15.9
2018-01,South Western Sydney,16.5,14.1,15.4
2018-02,South Western Sydney,23.3,27.3,25.4
2018-03,South Western Sydney,28.5,27.3,28.1
2018-04,South Western Sydney,24.3,23.3,24.0
2018-05,South Western Sydney,37.2,37.4,37.4
2018-06,South Western Sydney,28.5,24.8,26.8
2018-07,South Western Sydney,24.5,21.2,23.0
2018-08,South Western Sydney,23.0,22.9,23.2
2018-09,South Western Sydney,24.0,21.7,23.0
2018-10,South Western Sydney,18.9,23.4,21.4
2018-11,South Western Sydney,22.2,22.2,22.3
2018-12,South Western Sydney,20.7,19.4,20.1
2019-01,South Western Sydney,15.3,18.1,16.8
2019-02,South Western Sydney,32.9,32.6,33.0
2019-03,South Western Sydney,27.1,29.2,28.3
2019-04,South Western Sydney,27.7,30.7,29.3
2019-05,South Western Sydney,36.3,38.0,37.5
2019-06,South Western Sydney,32.3,30.2,31.5
2019-07,South Western Sydney,24.8,21.3,23.2
2019-08,South Western Sydney,24.8,24.7,24.9
2019-09,South Western Sydney,24.8,20.0,22.5
2019-10,South Western Sydney,19.2,18.7,19.0
2019-11,South Western Sydney,26.6,23.4,25.2
2019-12,South Western Sydney,31.1,23.8,27.5
2020-01,South Western Sydney,23.1,16.7,20.1
2020-02,South Western Sydney,22.3,26.5,24.5
2020-03,South Western Sydney,28.3,28.0,28.3
2020-04,South Western Sydney,13.6,7.1,10.3
2020-05,South Western Sydney,9.3,9.5,9.4
2020-06,South Western Sydney,19.7,20.1,20.1
2020-07,South Western Sydney,15.8,14.5,15.2
2020-08,South Western Sydney,17.8,23.4,20.7
2020-09,South Western Sydney,13.6,16.7,15.3
2020-10,South Western Sydney,17.3,11.2,14.3
2020-11,South Western Sydney,14.1,19.3,16.9
2020-12,South Western Sydney,13.6,13.8,13.8
2021-01,South Western Sydney,11.3,8.9,10.1
2021-02,South Western Sydney,16.7,16.5,16.7
2021-03,South Western Sydney,23.0,19.0,21.1
2021-04,South Western Sydney,22.0,23.3,22.8
2021-05,South Western Sydney,31.0,26.9,29.1
2021-06,South Western Sydney,23.8,17.5,20.8
2021-07,South Western Sydney,14.8,10.7,12.8
2021-08,South Western Sydney,8.8,4.2,6.6
2021-09,South Western Sydney,6.8,5.3,6.1
2021-10,South Western Sydney,5.9,7.9,6.9
2021-11,South Western Sydney,16.0,17.1,16.6
2021-12,South Western Sydney,10.8,12.0,11.4
2022-01,South Western Sydney,9.6,7.3,8.5
2022-02,South Western Sydney,18.6,20.4,19.6
2022-03,South Western Sydney,30.6,28.8,29.8
2022-04,South Western Sydney,30.1,28.0,29.1
2022-05,South Western Sydney,39.5,42.8,41.3
2022-06,South Western Sydney,26.9,24.8,26.0
2022-07,South Western Sydney,27.1,16.4,21.8
2022-08,South Western Sydney,25.0,33.3,29.4
2022-09,South Western Sydney,21.2,21.1,21.3
2022-10,South Western Sydney,19.6,20.6,20.1
2022-11,South Western Sydney,17.2,16.4,16.8
2022-12,South Western Sydney,14.1,13.7,14.0
2023-01,South Western Sydney,11.7,14.3,13.1
2023-02,South Western Sydney,21.0,25.4,23.4
2023-03,South Western Sydney,22.0,19.5,20.9
2023-04,South Western Sydney,26.5,20.1,23.4
2023-05,South Western Sydney,25.5,29.0,27.3
2023-06,South Western Sydney,18.9,18.4,18.8
2023-07,South Western Sydney,20.23076923076923,18.99230769230769,19.76153846153846
2023-08,South Western Sydney,21.56153846153846,19.584615384615383,20.723076923076924
2023-09,South Western Sydney,22.892307692307693,20.176923076923075,21.684615384615384
2023-10,South Western Sydney,24.223076923076924,20.76923076923077,22.646153846153847
2023-11,South Western Sydney,25.553846153846155,21.361538461538462,23.607692307692307
2023-12,South Western Sydney,26.884615384615387,21.953846153846154,24.56923076923077
2024-01,South Western Sydney,28.215384615384615,22.546153846153846,25.53076923076923
2024-02,South Western Sydney,29.54615384615385,23.138461538461538,26.492307692307694
2024-03,South Western Sydney,30.876923076923077,23.730769230769234,27.453846153846154
2024-04,South Western Sydney,32.20769230769231,24.323076923076925,28.415384615384617
2024-05,South Western Sydney,33.53846153846154,24.915384615384617,29.376923076923077
2024-06,South Western Sydney,34.86923076923077,25.50769230769231,30.338461538461537
2014-07,Southern NSW,36.2,26.1,31.3
2014-08,Southern NSW,55.6,36.6,46.0
2014-09,Southern NSW,34.6,31.8,33.0
2014-10,Southern NSW,29.5,29.5,29.6
2014-11,Southern NSW,43.3,46.0,45.0
2014-12,Southern NSW,20.1,28.6,24.5
2015-01,Southern NSW,12.5,24.8,18.8
2015-02,Southern NSW,38.6,18.5,28.5
2015-03,Southern NSW,29.7,42.9,36.5
2015-04,Southern NSW,39.1,27.1,33.3
2015-05,Southern NSW,41.2,47.7,45.0
2015-06,Southern NSW,47.7,43.5,45.9
2015-07,Southern NSW,42.8,17.6,30.1
2015-08,Southern NSW,57.6,51.7,54.9
2015-09,Southern NSW,40.0,30.5,35.6
2015-10,Southern NSW,34.5,22.8,29.0
2015-11,Southern NSW,30.3,37.4,33.8
2015-12,Southern NSW,27.9,41.6,34.9
2016-01,Southern NSW,26.1,21.3,23.7
2016-02,Southern NSW,35.7,40.1,38.3
2016-03,Southern NSW,41.1,35.2,38.5
2016-04,Southern NSW,40.9,26.6,33.8
2016-05,Southern NSW,48.8,52.7,50.8
2016-06,Southern NSW,39.2,36.8,38.4
2016-07,Southern NSW,47.6,31.2,39.2
2016-08,Southern NSW,55.8,34.2,45.2
2016-09,Southern NSW,29.8,32.4,31.1
2016-10,Southern NSW,23.2,25.2,24.2
2016-11,Southern NSW,34.5,42.6,38.6
2016-12,Southern NSW,35.6,48.1,42.1
2017-01,Southern NSW,34.3,30.9,32.9
2017-02,Southern NSW,32.2,43.9,38.5
2017-03,Southern NSW,29.7,36.0,32.9
2017-04,Southern NSW,47.6,43.1,45.6
2017-05,Southern NSW,52.5,49.4,51.2
2017-06,Southern NSW,53.2,36.1,44.7
2017-07,Southern NSW,42.2,36.8,39.8
2017-08,Southern NSW,49.3,28.4,38.9
2017-09,Southern NSW,33.5,21.9,27.7
2017-10,Southern NSW,35.0,31.4,33.0
2017-11,Southern NSW,31.8,39.3,35.8
2017-12,Southern NSW,31.7,32.3,32.3
2018-01,Southern NSW,28.8,19.3,23.9
2018-02,Southern NSW,33.4,46.8,40.3
2018-03,Southern NSW,54.2,45.6,50.1
2018-04,Southern NSW,33.0,34.6,33.8
2018-05,Southern NSW,28.2,40.1,34.4
2018-06,Southern NSW,43.0,47.2,45.3
2018-07,Southern NSW,54.0,46.2,50.2
2018-08,Southern NSW,40.0,28.2,34.1
2018-09,Southern NSW,41.7,27.3,34.5
2018-10,Southern NSW,32.2,31.1,31.9
2018-11,Southern NSW,42.3,39.6,41.0
2018-12,Southern NSW,48.8,29.0,38.9
2019-01,Southern NSW,31.9,30.0,30.9
2019-02,Southern NSW,41.5,33.0,37.3
2019-03,Southern NSW,56.2,32.8,44.1
2019-04,Southern NSW,56.6,38.8,47.4
2019-05,Southern NSW,65.6,44.5,54.9
2019-06,Southern NSW,48.8,46.4,47.9
2019-07,Southern NSW,52.6,46.5,49.6
2019-08,Southern NSW,50.2,26.5,38.1
2019-09,Southern NSW,35.5,32.8,34.2
2019-10,Southern NSW,38.8,27.4,33.0
2019-11,Southern NSW,43.5,42.9,43.3
2019-12,Southern NSW,61.0,36.6,48.7
2020-01,Southern NSW,76.0,36.3,55.8
2020-02,Southern NSW,26.9,27.0,27.1
2020-03,Southern NSW,39.0,41.1,40.2
2020-04,Southern NSW,10.6,13.1,11.9
2020-05,Southern NSW,18.4,13.0,15.7
2020-06,Southern NSW,39.3,26.7,33.0
2020-07,Southern NSW,18.2,20.1,19.2
2020-08,Southern NSW,25.8,19.1,22.6
2020-09,Southern NSW,29.7,15.4,22.5
2020-10,Southern NSW,41.5,33.9,37.7
2020-11,Southern NSW,38.9,35.5,37.3
2020-12,Southern NSW,30.7,22.4,26.5
2021-01,Southern NSW,19.4,15.4,17.5
2021-02,Southern NSW,22.7,18.4,20.6
2021-03,Southern NSW,31.3,45.7,38.6
2021-04,Southern NSW,35.4,28.9,32.3
2021-05,Southern NSW,43.2,38.9,41.0
2021-06,Southern NSW,37.9,37.6,37.8
2021-07,Southern NSW,41.8,24.9,33.3
2021-08,Southern NSW,53.0,25.9,39.2
2021-09,Southern NSW,16.7,5.0,10.9
2021-10,Southern NSW,20.4,14.3,17.3
2021-11,Southern NSW,16.4,26.0,21.4
2021-12,Southern NSW,22.4,34.3,28.5
2022-01,Southern NSW,18.3,11.8,15.0
2022-02,Southern NSW,21.1,20.4,20.8
2022-03,Southern NSW,40.9,30.3,35.5
2022-04,Southern NSW,37.2,23.0,30.0
2022-05,Southern NSW,47.0,42.5,45.2
2022-06,Southern NSW,56.8,53.5,55.3
2022-07,Southern NSW,37.9,32.6,35.5
2022-08,Southern NSW,42.3,34.8,38.5
2022-09,Southern NSW,42.4,37.6,40.4
2022-10,Southern NSW,65.2,39.7,52.4
2022-11,Southern NSW,48.8,49.0,49.2
2022-12,Southern NSW,28.6,37.1,32.9
2023-01,Southern NSW,18.3,16.6,17.4
2023-02,Southern NSW,20.4,34.0,27.3
2023-03,Southern NSW,30.3,27.1,28.8
2023-04,Southern NSW,36.0,33.9,35.1
2023-05,Southern NSW,40.2,35.5,38.0
2023-06,Southern NSW,29.7,40.7,35.2
2023-07,Southern NSW,29.407692307692308,39.307692307692314,34.369230769230775
2023-08,Southern NSW,29.115384615384613,37.91538461538462,33.53846153846154
2023-09,Southern NSW,28.823076923076922,36.52307692307693,32.70769230769231
2023-10,Southern NSW,28.53076923076923,35.13076923076923,31.876923076923077
2023-11,Southern NSW,28.238461538461536,33.73846153846154,31.046153846153846
2023-12,Southern NSW,27.946153846153845,32.34615384615385,30.215384615384615
2024-01,Southern NSW,27.653846153846153,30.953846153846158,29.384615384615387
2024-02,Southern NSW,27.36153846153846,29.56153846153846,28.553846153846152
2024-03,Southern NSW,27.069230769230767,28.169230769230772,27.723076923076924
2024-04,Southern NSW,26.776923076923076,26.776923076923076,26.89230769230769
2024-05,Southern NSW,26.48461538461538,25.384615384615387,26.06153846153846
2024-06,Southern NSW,26.19230769230769,23.992307692307694,25.23076923076923
2014-07,Sydney,25.9,22.6,24.4
2014-08,Sydney,22.0,28.9,25.6
2014-09,Sydney,20.5,15.7,18.1
2014-10,Sydney,21.1,19.2,20.3
2014-11,Sydney,21.7,19.7,20.7
2014-12,Sydney,18.0,24.9,21.6
2015-01,Sydney,10.9,15.1,12.9
2015-02,Sydney,26.4,27.8,27.2
2015-03,Sydney,25.6,29.5,27.7
2015-04,Sydney,17.6,24.7,21.4
2015-05,Sydney,25.2,27.6,26.6
2015-06,Sydney,26.7,26.5,26.8
2015-07,Sydney,30.5,27.2,28.9
2015-08,Sydney,22.1,28.4,25.4
2015-09,Sydney,18.3,17.9,18.3
2015-10,Sydney,19.6,21.7,20.8
2015-11,Sydney,17.2,19.5,18.5
2015-12,Sydney,14.3,15.0,14.7
2016-01,Sydney,15.0,14.6,14.9
2016-02,Sydney,19.3,35.2,27.4
2016-03,Sydney,20.1,29.5,25.0
2016-04,Sydney,21.9,21.1,21.5
2016-05,Sydney,28.3,28.3,28.5
2016-06,Sydney,23.3,28.1,26.0
2016-07,Sydney,23.6,24.0,23.9
2016-08,Sydney,23.6,20.0,22.0
2016-09,Sydney,21.2,19.2,20.3
2016-10,Sydney,17.6,18.7,18.2
2016-11,Sydney,11.4,16.3,13.9
2016-12,Sydney,15.2,16.0,15.7
2017-01,Sydney,12.2,12.6,12.5
2017-02,Sydney,22.0,22.2,22.3
2017-03,Sydney,27.3,26.7,27.2
2017-04,Sydney,25.3,26.6,26.2
2017-05,Sydney,30.8,36.0,33.5
2017-06,Sydney,24.5,24.5,24.7
2017-07,Sydney,18.9,16.7,17.9
2017-08,Sydney,17.0,16.8,17.0
2017-09,Sydney,15.7,16.5,16.2
2017-10,Sydney,10.6,19.1,15.0
2017-11,Sydney,16.3,14.1,15.4
2017-12,Sydney,12.1,18.6,15.4
2018-01,Sydney,13.1,10.3,11.7
2018-02,Sydney,18.7,22.5,20.8
2018-03,Sydney,14.3,21.2,17.9
2018-04,Sydney,20.2,18.0,19.2
2018-05,Sydney,32.0,34.3,33.3
2018-06,Sydney,19.5,21.3,20.5
2018-07,Sydney,15.1,12.6,14.0
2018-08,Sydney,16.0,17.2,16.7
2018-09,Sydney,14.1,24.4,19.4
2018-10,Sydney,24.7,16.3,20.6
2018-11,Sydney,17.1,19.8,18.6
2018-12,Sydney,16.6,11.8,14.3
2019-01,Sydney,15.5,14.8,15.3
2019-02,Sydney,22.0,30.2,26.3
2019-03,Sydney,18.1,24.5,21.4
2019-04,Sydney,20.5,22.8,21.7
2019-05,Sydney,28.2,26.4,27.3
2019-06,Sydney,24.8,23.5,24.3
2019-07,Sydney,17.2,15.6,16.4
2019-08,Sydney,17.2,17.2,17.3
2019-09,Sydney,14.6,20.3,17.5
2019-10,Sydney,15.0,14.4,14.8
2019-11,Sydney,24.5,20.4,22.5
2019-12,Sydney,22.3,22.5,22.5
2020-01,Sydney,13.3,13.5,13.4
2020-02,Sydney,16.4,23.5,20.1
2020-03,Sydney,23.7,24.5,24.2
2020-04,Sydney,9.5,5.9,7.7
2020-05,Sydney,8.1,6.2,7.2
2020-06,Sydney,17.6,19.1,18.5
2020-07,Sydney,14.9,11.5,13.2
2020-08,Sydney,17.0,20.2,18.7
2020-09,Sydney,13.3,11.1,12.2
2020-10,Sydney,10.9,15.2,13.0
2020-11,Sydney,16.5,15.3,15.9
2020-12,Sydney,10.0,15.4,12.7
2021-01,Sydney,8.0,8.4,8.3
2021-02,Sydney,15.7,15.9,15.9
2021-03,Sydney,19.5,19.7,19.6
2021-04,Sydney,14.4,18.7,16.6
2021-05,Sydney,26.0,23.6,24.7
2021-06,Sydney,19.2,18.5,18.9
2021-07,Sydney,8.9,8.2,8.6
2021-08,Sydney,5.9,5.6,5.8
2021-09,Sydney,8.3,3.0,5.7
2021-10,Sydney,7.2,6.5,7.0
2021-11,Sydney,9.7,8.2,8.9
2021-12,Sydney,8.8,9.1,9.0
2022-01,Sydney,7.0,11.2,9.1
2022-02,Sydney,8.1,11.2,9.7
2022-03,Sydney,19.2,24.4,21.9
2022-04,Sydney,23.1,24.2,23.7
2022-05,Sydney,28.9,28.4,28.7
2022-06,Sydney,20.9,17.0,19.0
2022-07,Sydney,14.6,16.5,15.7
2022-08,Sydney,21.3,27.1,24.3
2022-09,Sydney,18.9,18.9,18.9
2022-10,Sydney,16.5,15.5,16.0
2022-11,Sydney,17.2,13.9,15.6
2022-12,Sydney,13.6,11.1,12.4
2023-01,Sydney,9.6,9.5,9.6
2023-02,Sydney,18.1,15.3,16.7
2023-03,Sydney,14.9,12.6,13.8
2023-04,Sydney,19.4,18.6,19.0
2023-05,Sydney,25.1,19.9,22.5
2023-06,Sydney,16.9,14.4,15.8
2023-07,Sydney,19.015384615384615,15.461538461538462,17.392307692307693
2023-08,Sydney,21.13076923076923,16.523076923076925,18.984615384615385
2023-09,Sydney,23.246153846153845,17.584615384615386,20.576923076923077
2023-10,Sydney,25.36153846153846,18.646153846153847,22.16923076923077
2023-11,Sydney,27.476923076923075,19.70769230769231,23.76153846153846
2023-12,Sydney,29.592307692307692,20.76923076923077,25.353846153846156
2024-01,Sydney,31.707692307692305,21.83076923076923,26.946153846153848
2024-02,Sydney,33.823076923076925,22.892307692307693,28.53846153846154
2024-03,Sydney,35.93846153846154,23.953846153846154,30.130769230769232
2024-04,Sydney,38.05384615384615,25.015384615384615,31.723076923076924
2024-05,Sydney,40.169230769230765,26.076923076923077,33.315384615384616
2024-06,Sydney,42.284615384615385,27.13846153846154,34.90769230769231
2014-07,Western NSW,44.4,28.2,36.5
2014-08,Western NSW,44.2,33.3,38.8
2014-09,Western NSW,51.9,29.1,40.5
2014-10,Western NSW,36.7,36.4,36.6
2014-11,Western NSW,32.9,43.4,38.5
2014-12,Western NSW,26.7,21.3,24.1
2015-01,Western NSW,20.5,18.4,19.5
2015-02,Western NSW,31.2,30.8,31.1
2015-03,Western NSW,37.1,29.3,33.2
2015-04,Western NSW,39.7,22.8,31.3
2015-05,Western NSW,47.8,48.6,48.2
2015-06,Western NSW,46.0,35.1,40.8
2015-07,Western NSW,46.9,44.8,46.1
2015-08,Western NSW,60.5,45.1,52.8
2015-09,Western NSW,55.4,38.3,47.0
2015-10,Western NSW,50.8,66.9,59.1
2015-11,Western NSW,39.2,58.2,49.3
2015-12,Western NSW,41.2,36.1,38.8
2016-01,Western NSW,30.3,28.2,29.4
2016-02,Western NSW,54.0,55.5,54.8
2016-03,Western NSW,47.4,44.4,45.9
2016-04,Western NSW,29.5,45.1,37.5
2016-05,Western NSW,50.5,59.9,55.6
2016-06,Western NSW,57.9,39.5,48.7
2016-07,Western NSW,72.4,40.2,56.1
2016-08,Western NSW,81.2,54.1,67.9
2016-09,Western NSW,68.8,41.5,55.5
2016-10,Western NSW,78.4,88.7,83.9
2016-11,Western NSW,64.6,90.3,77.7
2016-12,Western NSW,47.3,42.8,45.2
2017-01,Western NSW,32.3,25.5,29.1
2017-02,Western NSW,41.1,40.0,40.7
2017-03,Western NSW,42.3,48.5,45.7
2017-04,Western NSW,50.8,43.9,47.5
2017-05,Western NSW,79.9,71.5,75.8
2017-06,Western NSW,69.4,59.3,64.7
2017-07,Western NSW,50.3,51.0,50.8
2017-08,Western NSW,74.7,54.8,64.8
2017-09,Western NSW,73.0,51.9,62.8
2017-10,Western NSW,43.3,40.1,41.9
2017-11,Western NSW,44.7,47.9,46.6
2017-12,Western NSW,45.3,34.9,40.4
2018-01,Western NSW,27.1,17.2,22.1
2018-02,Western NSW,40.0,33.0,36.7
2018-03,Western NSW,38.1,38.4,38.4
2018-04,Western NSW,38.7,37.9,38.3
2018-05,Western NSW,50.9,47.3,49.4
2018-06,Western NSW,52.9,42.4,47.7
2018-07,Western NSW,55.3,41.3,48.6
2018-08,Western NSW,58.5,46.0,52.4
2018-09,Western NSW,46.1,42.7,44.6
2018-10,Western NSW,63.1,37.8,50.2
2018-11,Western NSW,61.4,46.4,54.0
2018-12,Western NSW,50.4,28.4,39.6
2019-01,Western NSW,28.1,22.7,25.4
2019-02,Western NSW,42.8,38.0,40.4
2019-03,Western NSW,32.7,48.2,40.8
2019-04,Western NSW,44.2,38.3,41.5
2019-05,Western NSW,66.1,52.8,59.5
2019-06,Western NSW,60.6,51.4,56.3
2019-07,Western NSW,58.3,51.3,54.9
2019-08,Western NSW,69.4,52.0,60.8
2019-09,Western NSW,57.3,45.8,51.7
2019-10,Western NSW,51.2,25.5,38.3
2019-11,Western NSW,55.1,44.3,49.9
2019-12,Western NSW,79.6,59.4,69.8
2020-01,Western NSW,43.7,22.4,33.0
2020-02,Western NSW,37.0,36.4,37.0
2020-03,Western NSW,48.7,43.1,46.0
2020-04,Western NSW,24.8,14.4,19.7
2020-05,Western NSW,24.6,18.2,21.4
2020-06,Western NSW,37.9,30.4,34.1
2020-07,Western NSW,41.0,26.4,33.8
2020-08,Western NSW,35.5,29.3,32.5
2020-09,Western NSW,30.6,29.0,30.1
2020-10,Western NSW,58.1,60.7,59.3
2020-11,Western NSW,59.0,86.5,73.0
2020-12,Western NSW,45.1,34.3,39.9
2021-01,Western NSW,29.1,20.9,25.2
2021-02,Western NSW,37.7,27.3,32.6
2021-03,Western NSW,38.9,48.6,44.0
2021-04,Western NSW,53.1,42.5,48.1
2021-05,Western NSW,81.5,72.8,77.4
2021-06,Western NSW,69.9,43.0,56.5
2021-07,Western NSW,45.6,35.9,40.7
2021-08,Western NSW,56.7,27.3,41.9
2021-09,Western NSW,29.0,15.8,22.5
2021-10,Western NSW,36.6,41.3,39.1
2021-11,Western NSW,66.7,60.0,63.4
2021-12,Western NSW,35.2,46.2,41.2
2022-01,Western NSW,32.1,19.7,25.9
2022-02,Western NSW,31.1,16.9,24.1
2022-03,Western NSW,55.4,48.7,52.2
2022-04,Western NSW,48.1,47.6,47.9
2022-05,Western NSW,83.3,74.9,79.3
2022-06,Western NSW,97.7,68.3,82.6
2022-07,Western NSW,66.2,47.6,57.2
2022-08,Western NSW,58.2,45.9,52.1
2022-09,Western NSW,56.7,75.2,66.5
2022-10,Western NSW,61.3,71.7,67.0
2022-11,Western NSW,58.0,72.0,65.3
2022-12,Western NSW,46.6,41.0,43.9
2023-01,Western NSW,32.0,23.7,28.1
2023-02,Western NSW,41.4,27.1,34.3
2023-03,Western NSW,43.3,51.0,47.4
2023-04,Western NSW,43.9,32.4,38.3
2023-05,Western NSW,57.7,50.0,53.9
2023-06,Western NSW,55.6,38.1,46.9
2023-07,Western NSW,54.01538461538462,37.392307692307696,45.76923076923077
2023-08,Western NSW,52.43076923076923,36.684615384615384,44.638461538461534
2023-09,Western NSW,50.84615384615385,35.97692307692308,43.50769230769231
2023-10,Western NSW,49.261538461538464,35.26923076923077,42.37692307692308
2023-11,Western NSW,47.676923076923075,34.56153846153846,41.246153846153845
2023-12,Western NSW,46.09230769230769,33.853846153846156,40.11538461538461
2024-01,Western NSW,44.50769230769231,33.146153846153844,38.98461538461538
2024-02,Western NSW,42.92307692307692,32.43846153846154,37.853846153846156
2024-03,Western NSW,41.33846153846154,31.73076923076923,36.723076923076924
2024-04,Western NSW,39.753846153846155,31.02307692307692,35.59230769230769
2024-05,Western NSW,38.169230769230765,30.315384615384616,34.46153846153847
2024-06,Western NSW,36.58461538461538,29.607692307692304,33.330769230769235
2014-07,Western Sydney,35.0,28.9,32.2
2014-08,Western Sydney,27.0,29.5,28.5
2014-09,Western Sydney,21.4,23.6,22.7
2014-10,Western Sydney,21.3,23.1,22.3
2014-11,Western Sydney,21.0,21.1,21.2
2014-12,Western Sydney,19.7,28.0,24.0
2015-01,Western Sydney,17.9,13.2,15.7
2015-02,Western Sydney,26.3,28.5,27.5
2015-03,Western Sydney,29.2,28.1,28.7
2015-04,Western Sydney,25.1,30.4,28.0
2015-05,Western Sydney,33.6,35.1,34.5
2015-06,Western Sydney,27.6,29.6,28.7
2015-07,Western Sydney,30.2,25.8,28.2
2015-08,Western Sydney,29.0,30.0,29.7
2015-09,Western Sydney,23.4,24.1,23.8
2015-10,Western Sydney,21.9,24.3,23.2
2015-11,Western Sydney,21.8,22.5,22.1
2015-12,Western Sydney,19.5,16.0,17.9
2016-01,Western Sydney,17.4,18.5,18.1
2016-02,Western Sydney,28.4,36.4,32.5
2016-03,Western Sydney,26.0,25.3,25.7
2016-04,Western Sydney,26.7,27.6,27.3
2016-05,Western Sydney,31.1,34.0,32.8
2016-06,Western Sydney,28.4,26.2,27.5
2016-07,Western Sydney,23.6,21.8,22.8
2016-08,Western Sydney,30.1,30.7,30.5
2016-09,Western Sydney,27.8,26.0,27.1
2016-10,Western Sydney,18.4,24.3,21.5
2016-11,Western Sydney,17.5,20.3,19.1
