acute respiratory infection,sex,lhd,financial year,"rate per 100,000 population"
Other acute respiratory infection,Females,South Western Sydney,2017/2018,412.6
Other acute respiratory infection,Females,South Western Sydney,2018/2019,408.8
Other acute respiratory infection,Females,South Western Sydney,2019/2020,328.8
Other acute respiratory infection,Females,South Western Sydney,2020/2021,284.3
Other acute respiratory infection,Females,South Eastern Sydney,2001/2002,136.2
Other acute respiratory infection,Females,South Eastern Sydney,2002/2003,155.8
Other acute respiratory infection,Females,South Eastern Sydney,2003/2004,157.5
Other acute respiratory infection,Females,South Eastern Sydney,2004/2005,168
Other acute respiratory infection,Females,South Eastern Sydney,2005/2006,201
Other acute respiratory infection,Females,South Eastern Sydney,2006/2007,181.8
Other acute respiratory infection,Females,South Eastern Sydney,2007/2008,218.9
Other acute respiratory infection,Females,South Eastern Sydney,2008/2009,198.5
Other acute respiratory infection,Females,South Eastern Sydney,2009/2010,207.9
Other acute respiratory infection,Females,South Eastern Sydney,2010/2011,195.2
Other acute respiratory infection,Females,South Eastern Sydney,2011/2012,222.8
Other acute respiratory infection,Females,South Eastern Sydney,2012/2013,193.2
Other acute respiratory infection,Females,South Eastern Sydney,2013/2014,209
Other acute respiratory infection,Females,South Eastern Sydney,2014/2015,221
Other acute respiratory infection,Females,South Eastern Sydney,2015/2016,213.7
Other acute respiratory infection,Females,South Eastern Sydney,2016/2017,197.6
Other acute respiratory infection,Females,South Eastern Sydney,2017/2018,192.8
Other acute respiratory infection,Females,South Eastern Sydney,2018/2019,243.4
Other acute respiratory infection,Females,South Eastern Sydney,2019/2020,199.6
Other acute respiratory infection,Females,South Eastern Sydney,2020/2021,167.4
Other acute respiratory infection,Females,Illawarra Shoalhaven,2001/2002,174.1
Other acute respiratory infection,Females,Illawarra Shoalhaven,2002/2003,162.2
Other acute respiratory infection,Females,Illawarra Shoalhaven,2003/2004,183
Other acute respiratory infection,Females,Illawarra Shoalhaven,2004/2005,187.9
Other acute respiratory infection,Females,Illawarra Shoalhaven,2005/2006,183
Other acute respiratory infection,Females,Illawarra Shoalhaven,2006/2007,202.2
Other acute respiratory infection,Females,Illawarra Shoalhaven,2007/2008,234.6
Other acute respiratory infection,Females,Illawarra Shoalhaven,2008/2009,230
Other acute respiratory infection,Females,Illawarra Shoalhaven,2009/2010,167.9
Other acute respiratory infection,Females,Illawarra Shoalhaven,2010/2011,202.6
Other acute respiratory infection,Females,Illawarra Shoalhaven,2011/2012,194.6
Other acute respiratory infection,Females,Illawarra Shoalhaven,2012/2013,190.6
Other acute respiratory infection,Females,Illawarra Shoalhaven,2013/2014,189.2
Other acute respiratory infection,Females,Illawarra Shoalhaven,2014/2015,199.7
Other acute respiratory infection,Females,Illawarra Shoalhaven,2015/2016,175
Other acute respiratory infection,Females,Illawarra Shoalhaven,2016/2017,191.2
Other acute respiratory infection,Females,Illawarra Shoalhaven,2017/2018,193.4
Other acute respiratory infection,Females,Illawarra Shoalhaven,2018/2019,214.9
Other acute respiratory infection,Females,Illawarra Shoalhaven,2019/2020,182.1
Other acute respiratory infection,Females,Illawarra Shoalhaven,2020/2021,140.7
Other acute respiratory infection,Females,Western Sydney,2001/2002,177.1
Other acute respiratory infection,Females,Western Sydney,2002/2003,161.4
Other acute respiratory infection,Females,Western Sydney,2003/2004,163.1
Other acute respiratory infection,Females,Western Sydney,2004/2005,151.1
Other acute respiratory infection,Females,Western Sydney,2005/2006,161.7
Other acute respiratory infection,Females,Western Sydney,2006/2007,184.2
Other acute respiratory infection,Females,Western Sydney,2007/2008,209.3
Other acute respiratory infection,Females,Western Sydney,2008/2009,207.5
Other acute respiratory infection,Females,Western Sydney,2009/2010,166.8
Other acute respiratory infection,Females,Western Sydney,2010/2011,205.7
Other acute respiratory infection,Females,Western Sydney,2011/2012,231.6
Other acute respiratory infection,Females,Western Sydney,2012/2013,236.6
Other acute respiratory infection,Females,Western Sydney,2013/2014,276.8
Other acute respiratory infection,Females,Western Sydney,2014/2015,304.4
Other acute respiratory infection,Females,Western Sydney,2015/2016,277
Other acute respiratory infection,Females,Western Sydney,2016/2017,298.2
Other acute respiratory infection,Females,Western Sydney,2017/2018,273.1
Other acute respiratory infection,Females,Western Sydney,2018/2019,329.8
Other acute respiratory infection,Females,Western Sydney,2019/2020,259.8
Other acute respiratory infection,Females,Western Sydney,2020/2021,327.1
Other acute respiratory infection,Females,Nepean Blue Mountains,2001/2002,275.5
Other acute respiratory infection,Females,Nepean Blue Mountains,2002/2003,255.4
Other acute respiratory infection,Females,Nepean Blue Mountains,2003/2004,276.8
Other acute respiratory infection,Females,Nepean Blue Mountains,2004/2005,300.8
Other acute respiratory infection,Females,Nepean Blue Mountains,2005/2006,291
Other acute respiratory infection,Females,Nepean Blue Mountains,2006/2007,342.7
Other acute respiratory infection,Females,Nepean Blue Mountains,2007/2008,368.2
Other acute respiratory infection,Females,Nepean Blue Mountains,2008/2009,362
Other acute respiratory infection,Females,Nepean Blue Mountains,2009/2010,323.8
Other acute respiratory infection,Females,Nepean Blue Mountains,2010/2011,342.4
Other acute respiratory infection,Females,Nepean Blue Mountains,2011/2012,322.5
Other acute respiratory infection,Females,Nepean Blue Mountains,2012/2013,326.6
Other acute respiratory infection,Females,Nepean Blue Mountains,2013/2014,333.9
Other acute respiratory infection,Females,Nepean Blue Mountains,2014/2015,332.9
Other acute respiratory infection,Females,Nepean Blue Mountains,2015/2016,331.9
Other acute respiratory infection,Females,Nepean Blue Mountains,2016/2017,381.8
Other acute respiratory infection,Females,Nepean Blue Mountains,2017/2018,417.6
Other acute respiratory infection,Females,Nepean Blue Mountains,2018/2019,423.1
Other acute respiratory infection,Females,Nepean Blue Mountains,2019/2020,340.1
Other acute respiratory infection,Females,Nepean Blue Mountains,2020/2021,297.1
Other acute respiratory infection,Females,Northern Sydney,2001/2002,136.5
Other acute respiratory infection,Females,Northern Sydney,2002/2003,125.6
Other acute respiratory infection,Females,Northern Sydney,2003/2004,138.6
Other acute respiratory infection,Females,Northern Sydney,2004/2005,154.6
Other acute respiratory infection,Females,Northern Sydney,2005/2006,170.3
Other acute respiratory infection,Females,Northern Sydney,2006/2007,164.2
Other acute respiratory infection,Females,Northern Sydney,2007/2008,177.6
Other acute respiratory infection,Females,Northern Sydney,2008/2009,184.3
Other acute respiratory infection,Females,Northern Sydney,2009/2010,173.4
Other acute respiratory infection,Females,Northern Sydney,2010/2011,215.2
Other acute respiratory infection,Females,Northern Sydney,2011/2012,210.4
Other acute respiratory infection,Females,Northern Sydney,2012/2013,208.2
Other acute respiratory infection,Females,Northern Sydney,2013/2014,198.4
Other acute respiratory infection,Females,Northern Sydney,2014/2015,241.1
Other acute respiratory infection,Females,Northern Sydney,2015/2016,226.6
Other acute respiratory infection,Females,Northern Sydney,2016/2017,248.4
Other acute respiratory infection,Females,Northern Sydney,2017/2018,215.4
Other acute respiratory infection,Females,Northern Sydney,2018/2019,265.2
Other acute respiratory infection,Females,Northern Sydney,2019/2020,201.8
Other acute respiratory infection,Females,Northern Sydney,2020/2021,180.6
Other acute respiratory infection,Females,Central Coast,2001/2002,187.5
Other acute respiratory infection,Females,Central Coast,2002/2003,218.9
Other acute respiratory infection,Females,Central Coast,2003/2004,212.1
Other acute respiratory infection,Females,Central Coast,2004/2005,190
Other acute respiratory infection,Females,Central Coast,2005/2006,224.1
Other acute respiratory infection,Females,Central Coast,2006/2007,189.6
Other acute respiratory infection,Females,Central Coast,2007/2008,221
Other acute respiratory infection,Females,Central Coast,2008/2009,239.4
Other acute respiratory infection,Females,Central Coast,2009/2010,244.1
Other acute respiratory infection,Females,Central Coast,2010/2011,225
Other acute respiratory infection,Females,Central Coast,2011/2012,227.9
Other acute respiratory infection,Females,Central Coast,2012/2013,217.8
Other acute respiratory infection,Females,Central Coast,2013/2014,240.8
Other acute respiratory infection,Females,Central Coast,2014/2015,315.1
Other acute respiratory infection,Females,Central Coast,2015/2016,291.4
Other acute respiratory infection,Females,Central Coast,2016/2017,295.9
Other acute respiratory infection,Females,Central Coast,2017/2018,287.4
Other acute respiratory infection,Females,Central Coast,2018/2019,334.3
Other acute respiratory infection,Females,Central Coast,2019/2020,272.2
Other acute respiratory infection,Females,Central Coast,2020/2021,253.1
Other acute respiratory infection,Females,Hunter New England,2001/2002,298.7
Other acute respiratory infection,Females,Hunter New England,2002/2003,304.3
Other acute respiratory infection,Females,Hunter New England,2003/2004,313.1
Other acute respiratory infection,Females,Hunter New England,2004/2005,291.9
Other acute respiratory infection,Females,Hunter New England,2005/2006,297.2
Other acute respiratory infection,Females,Hunter New England,2006/2007,280.6
Other acute respiratory infection,Females,Hunter New England,2007/2008,331.5
Other acute respiratory infection,Females,Hunter New England,2008/2009,281.3
Other acute respiratory infection,Females,Hunter New England,2009/2010,260.4
Other acute respiratory infection,Females,Hunter New England,2010/2011,288.7
Other acute respiratory infection,Females,Hunter New England,2011/2012,295.8
Other acute respiratory infection,Females,Hunter New England,2012/2013,276
Other acute respiratory infection,Females,Hunter New England,2013/2014,303.5
Other acute respiratory infection,Females,Hunter New England,2014/2015,285.5
Other acute respiratory infection,Females,Hunter New England,2015/2016,298.7
Other acute respiratory infection,Females,Hunter New England,2016/2017,322.7
Other acute respiratory infection,Females,Hunter New England,2017/2018,318.8
Other acute respiratory infection,Females,Hunter New England,2018/2019,306.9
Other acute respiratory infection,Females,Hunter New England,2019/2020,241
Other acute respiratory infection,Females,Hunter New England,2020/2021,189.1
Other acute respiratory infection,Females,Northern NSW,2001/2002,407.5
Other acute respiratory infection,Females,Northern NSW,2002/2003,373.9
Other acute respiratory infection,Females,Northern NSW,2003/2004,411.6
Other acute respiratory infection,Females,Northern NSW,2004/2005,335.1
Other acute respiratory infection,Females,Northern NSW,2005/2006,374.9
Other acute respiratory infection,Females,Northern NSW,2006/2007,325.9
Other acute respiratory infection,Females,Northern NSW,2007/2008,426.1
Other acute respiratory infection,Females,Northern NSW,2008/2009,418.2
Other acute respiratory infection,Females,Northern NSW,2009/2010,417.3
Other acute respiratory infection,Females,Northern NSW,2010/2011,426.4
Other acute respiratory infection,Females,Northern NSW,2011/2012,363.8
Other acute respiratory infection,Females,Northern NSW,2012/2013,368.9
Other acute respiratory infection,Females,Northern NSW,2013/2014,342.9
Other acute respiratory infection,Females,Northern NSW,2014/2015,379.9
Other acute respiratory infection,Females,Northern NSW,2015/2016,420
Other acute respiratory infection,Females,Northern NSW,2016/2017,377.4
Other acute respiratory infection,Females,Northern NSW,2017/2018,371.6
Other acute respiratory infection,Females,Northern NSW,2018/2019,390.6
Other acute respiratory infection,Females,Northern NSW,2019/2020,292.2
Other acute respiratory infection,Females,Northern NSW,2020/2021,258.8
Other acute respiratory infection,Females,Mid North Coast,2001/2002,384.7
Other acute respiratory infection,Females,Mid North Coast,2002/2003,325.6
Other acute respiratory infection,Females,Mid North Coast,2003/2004,364.6
Other acute respiratory infection,Females,Mid North Coast,2004/2005,358.7
Other acute respiratory infection,Females,Mid North Coast,2005/2006,298
Other acute respiratory infection,Females,Mid North Coast,2006/2007,345.4
Other acute respiratory infection,Females,Mid North Coast,2007/2008,402.1
Other acute respiratory infection,Females,Mid North Coast,2008/2009,366.6
Other acute respiratory infection,Females,Mid North Coast,2009/2010,309.4
Other acute respiratory infection,Females,Mid North Coast,2010/2011,335.3
Other acute respiratory infection,Females,Mid North Coast,2011/2012,316.1
Other acute respiratory infection,Females,Mid North Coast,2012/2013,249.4
Other acute respiratory infection,Females,Mid North Coast,2013/2014,335.6
Other acute respiratory infection,Females,Mid North Coast,2014/2015,276.8
Other acute respiratory infection,Females,Mid North Coast,2015/2016,288.8
Other acute respiratory infection,Females,Mid North Coast,2016/2017,347.2
Other acute respiratory infection,Females,Mid North Coast,2017/2018,287.5
Other acute respiratory infection,Females,Mid North Coast,2018/2019,338.2
Other acute respiratory infection,Females,Mid North Coast,2019/2020,236.5
Other acute respiratory infection,Females,Mid North Coast,2020/2021,237.7
Other acute respiratory infection,Females,Southern NSW,2001/2002,370.3
Other acute respiratory infection,Females,Southern NSW,2002/2003,325.1
Other acute respiratory infection,Females,Southern NSW,2003/2004,345.6
Other acute respiratory infection,Females,Southern NSW,2004/2005,346.1
Other acute respiratory infection,Females,Southern NSW,2005/2006,347.1
Other acute respiratory infection,Females,Southern NSW,2006/2007,369.3
Other acute respiratory infection,Females,Southern NSW,2007/2008,322.7
Other acute respiratory infection,Females,Southern NSW,2008/2009,368.7
Other acute respiratory infection,Females,Southern NSW,2009/2010,308.9
Other acute respiratory infection,Females,Southern NSW,2010/2011,327.2
Other acute respiratory infection,Females,Southern NSW,2011/2012,365.9
Other acute respiratory infection,Females,Southern NSW,2012/2013,342.6
Other acute respiratory infection,Females,Southern NSW,2013/2014,318.9
Other acute respiratory infection,Females,Southern NSW,2014/2015,321.7
Other acute respiratory infection,Females,Southern NSW,2015/2016,361.2
Other acute respiratory infection,Females,Southern NSW,2016/2017,343.3
Other acute respiratory infection,Females,Southern NSW,2017/2018,327.5
Other acute respiratory infection,Females,Southern NSW,2018/2019,340.3
Other acute respiratory infection,Females,Southern NSW,2019/2020,256.9
Other acute respiratory infection,Females,Southern NSW,2020/2021,267
Other acute respiratory infection,Females,Murrumbidgee,2001/2002,477.1
Other acute respiratory infection,Females,Murrumbidgee,2002/2003,464.6
Other acute respiratory infection,Females,Murrumbidgee,2003/2004,482.5
Other acute respiratory infection,Females,Murrumbidgee,2004/2005,474.1
Other acute respiratory infection,Females,Murrumbidgee,2005/2006,464.1
Other acute respiratory infection,Females,Murrumbidgee,2006/2007,443.5
Other acute respiratory infection,Females,Murrumbidgee,2007/2008,512.2
Other acute respiratory infection,Females,Murrumbidgee,2008/2009,482.1
Other acute respiratory infection,Females,Murrumbidgee,2009/2010,430.8
Other acute respiratory infection,Females,Murrumbidgee,2010/2011,431.4
Other acute respiratory infection,Females,Murrumbidgee,2011/2012,456
Other acute respiratory infection,Females,Murrumbidgee,2012/2013,401.3
Other acute respiratory infection,Females,Murrumbidgee,2013/2014,424.6
Other acute respiratory infection,Females,Murrumbidgee,2014/2015,386.1
Other acute respiratory infection,Females,Murrumbidgee,2015/2016,450.4
Other acute respiratory infection,Females,Murrumbidgee,2016/2017,587.3
Other acute respiratory infection,Females,Murrumbidgee,2017/2018,530.5
Other acute respiratory infection,Females,Murrumbidgee,2018/2019,605.3
Other acute respiratory infection,Females,Murrumbidgee,2019/2020,420.8
Other acute respiratory infection,Females,Murrumbidgee,2020/2021,335
Other acute respiratory infection,Females,Western NSW,2001/2002,596.5
Other acute respiratory infection,Females,Western NSW,2002/2003,546.1
Other acute respiratory infection,Females,Western NSW,2003/2004,573.1
Other acute respiratory infection,Females,Western NSW,2004/2005,491.9
Other acute respiratory infection,Females,Western NSW,2005/2006,605.9
Other acute respiratory infection,Females,Western NSW,2006/2007,472.9
Other acute respiratory infection,Females,Western NSW,2007/2008,580.5
Other acute respiratory infection,Females,Western NSW,2008/2009,477.8
Other acute respiratory infection,Females,Western NSW,2009/2010,466.1
Other acute respiratory infection,Females,Western NSW,2010/2011,458.2
Other acute respiratory infection,Females,Western NSW,2011/2012,463.8
Other acute respiratory infection,Females,Western NSW,2012/2013,433.8
Other acute respiratory infection,Females,Western NSW,2013/2014,459.6
Other acute respiratory infection,Females,Western NSW,2014/2015,419.1
Other acute respiratory infection,Females,Western NSW,2015/2016,433.6
Other acute respiratory infection,Females,Western NSW,2016/2017,546.5
Other acute respiratory infection,Females,Western NSW,2017/2018,532.8
Other acute respiratory infection,Females,Western NSW,2018/2019,512.7
Other acute respiratory infection,Females,Western NSW,2019/2020,449
Other acute respiratory infection,Females,Western NSW,2020/2021,299.4
All acute respiratory infection,Males,Sydney,2001/2002,583.6
All acute respiratory infection,Males,Sydney,2002/2003,581.8
All acute respiratory infection,Males,Sydney,2003/2004,605.7
All acute respiratory infection,Males,Sydney,2004/2005,576.2
All acute respiratory infection,Males,Sydney,2005/2006,499.6
All acute respiratory infection,Males,Sydney,2006/2007,557
All acute respiratory infection,Males,Sydney,2007/2008,556.3
All acute respiratory infection,Males,Sydney,2008/2009,525.3
All acute respiratory infection,Males,Sydney,2009/2010,530.2
All acute respiratory infection,Males,Sydney,2010/2011,540.1
All acute respiratory infection,Males,Sydney,2011/2012,588.4
All acute respiratory infection,Males,Sydney,2012/2013,553.6
All acute respiratory infection,Males,Sydney,2013/2014,559.9
All acute respiratory infection,Males,Sydney,2014/2015,612.2
All acute respiratory infection,Males,Sydney,2015/2016,651.1
All acute respiratory infection,Males,Sydney,2016/2017,656.1
All acute respiratory infection,Males,Sydney,2017/2018,714.6
All acute respiratory infection,Males,Sydney,2018/2019,692.1
All acute respiratory infection,Males,Sydney,2019/2020,603.7
All acute respiratory infection,Males,Sydney,2020/2021,414.7
All acute respiratory infection,Males,South Western Sydney,2001/2002,596
All acute respiratory infection,Males,South Western Sydney,2002/2003,586
All acute respiratory infection,Males,South Western Sydney,2003/2004,625.1
All acute respiratory infection,Males,South Western Sydney,2004/2005,577.7
All acute respiratory infection,Males,South Western Sydney,2005/2006,549.6
All acute respiratory infection,Males,South Western Sydney,2006/2007,598.2
All acute respiratory infection,Males,South Western Sydney,2007/2008,667.3
All acute respiratory infection,Males,South Western Sydney,2008/2009,632.5
All acute respiratory infection,Males,South Western Sydney,2009/2010,623.3
All acute respiratory infection,Males,South Western Sydney,2010/2011,669.7
All acute respiratory infection,Males,South Western Sydney,2011/2012,754.8
All acute respiratory infection,Males,South Western Sydney,2012/2013,722.9
All acute respiratory infection,Males,South Western Sydney,2013/2014,719.2
All acute respiratory infection,Males,South Western Sydney,2014/2015,781.1
All acute respiratory infection,Males,South Western Sydney,2015/2016,783.1
All acute respiratory infection,Males,South Western Sydney,2016/2017,850.2
All acute respiratory infection,Males,South Western Sydney,2017/2018,916
All acute respiratory infection,Males,South Western Sydney,2018/2019,927.2
All acute respiratory infection,Males,South Western Sydney,2019/2020,798.2
All acute respiratory infection,Males,South Western Sydney,2020/2021,587.8
All acute respiratory infection,Males,South Eastern Sydney,2001/2002,468.2
All acute respiratory infection,Males,South Eastern Sydney,2002/2003,471.7
All acute respiratory infection,Males,South Eastern Sydney,2003/2004,491
All acute respiratory infection,Males,South Eastern Sydney,2004/2005,504.7
All acute respiratory infection,Males,South Eastern Sydney,2005/2006,516.5
All acute respiratory infection,Males,South Eastern Sydney,2006/2007,505.5
All acute respiratory infection,Males,South Eastern Sydney,2007/2008,545.6
All acute respiratory infection,Males,South Eastern Sydney,2008/2009,507.9
All acute respiratory infection,Males,South Eastern Sydney,2009/2010,489.7
All acute respiratory infection,Males,South Eastern Sydney,2010/2011,521.2
All acute respiratory infection,Males,South Eastern Sydney,2011/2012,564.6
All acute respiratory infection,Males,South Eastern Sydney,2012/2013,519.9
All acute respiratory infection,Males,South Eastern Sydney,2013/2014,506.7
All acute respiratory infection,Males,South Eastern Sydney,2014/2015,570
All acute respiratory infection,Males,South Eastern Sydney,2015/2016,539.7
All acute respiratory infection,Males,South Eastern Sydney,2016/2017,559.9
All acute respiratory infection,Males,South Eastern Sydney,2017/2018,577.1
All acute respiratory infection,Males,South Eastern Sydney,2018/2019,634.3
All acute respiratory infection,Males,South Eastern Sydney,2019/2020,568.8
All acute respiratory infection,Males,South Eastern Sydney,2020/2021,378.9
All acute respiratory infection,Males,Illawarra Shoalhaven,2001/2002,523.6
All acute respiratory infection,Males,Illawarra Shoalhaven,2002/2003,453
All acute respiratory infection,Males,Illawarra Shoalhaven,2003/2004,480.3
All acute respiratory infection,Males,Illawarra Shoalhaven,2004/2005,505.3
All acute respiratory infection,Males,Illawarra Shoalhaven,2005/2006,526.4
All acute respiratory infection,Males,Illawarra Shoalhaven,2006/2007,519
All acute respiratory infection,Males,Illawarra Shoalhaven,2007/2008,568
All acute respiratory infection,Males,Illawarra Shoalhaven,2008/2009,606.1
All acute respiratory infection,Males,Illawarra Shoalhaven,2009/2010,564
All acute respiratory infection,Males,Illawarra Shoalhaven,2010/2011,530.8
All acute respiratory infection,Males,Illawarra Shoalhaven,2011/2012,542.7
All acute respiratory infection,Males,Illawarra Shoalhaven,2012/2013,530.6
All acute respiratory infection,Males,Illawarra Shoalhaven,2013/2014,549.2
All acute respiratory infection,Males,Illawarra Shoalhaven,2014/2015,625.8
All acute respiratory infection,Males,Illawarra Shoalhaven,2015/2016,547.5
All acute respiratory infection,Males,Illawarra Shoalhaven,2016/2017,581
All acute respiratory infection,Males,Illawarra Shoalhaven,2017/2018,627.3
All acute respiratory infection,Males,Illawarra Shoalhaven,2018/2019,634.3
All acute respiratory infection,Males,Illawarra Shoalhaven,2019/2020,591.9
All acute respiratory infection,Males,Illawarra Shoalhaven,2020/2021,438.3
All acute respiratory infection,Males,Western Sydney,2001/2002,531.9
All acute respiratory infection,Males,Western Sydney,2002/2003,497.4
All acute respiratory infection,Males,Western Sydney,2003/2004,527.9
All acute respiratory infection,Males,Western Sydney,2004/2005,470.8
All acute respiratory infection,Males,Western Sydney,2005/2006,490.2
All acute respiratory infection,Males,Western Sydney,2006/2007,518.5
All acute respiratory infection,Males,Western Sydney,2007/2008,588.8
All acute respiratory infection,Males,Western Sydney,2008/2009,541.5
All acute respiratory infection,Males,Western Sydney,2009/2010,557.1
All acute respiratory infection,Males,Western Sydney,2010/2011,548.5
All acute respiratory infection,Males,Western Sydney,2011/2012,608.1
All acute respiratory infection,Males,Western Sydney,2012/2013,608.8
All acute respiratory infection,Males,Western Sydney,2013/2014,655.8
All acute respiratory infection,Males,Western Sydney,2014/2015,676.1
All acute respiratory infection,Males,Western Sydney,2015/2016,662.5
All acute respiratory infection,Males,Western Sydney,2016/2017,697.3
All acute respiratory infection,Males,Western Sydney,2017/2018,748.1
All acute respiratory infection,Males,Western Sydney,2018/2019,775.9
All acute respiratory infection,Males,Western Sydney,2019/2020,665.8
All acute respiratory infection,Males,Western Sydney,2020/2021,593.3
All acute respiratory infection,Males,Nepean Blue Mountains,2001/2002,750.7
All acute respiratory infection,Males,Nepean Blue Mountains,2002/2003,636.1
All acute respiratory infection,Males,Nepean Blue Mountains,2003/2004,665.9
All acute respiratory infection,Males,Nepean Blue Mountains,2004/2005,710.1
All acute respiratory infection,Males,Nepean Blue Mountains,2005/2006,709.2
All acute respiratory infection,Males,Nepean Blue Mountains,2006/2007,716.9
All acute respiratory infection,Males,Nepean Blue Mountains,2007/2008,922.8
All acute respiratory infection,Males,Nepean Blue Mountains,2008/2009,751.1
All acute respiratory infection,Males,Nepean Blue Mountains,2009/2010,691.1
All acute respiratory infection,Males,Nepean Blue Mountains,2010/2011,804.4
All acute respiratory infection,Males,Nepean Blue Mountains,2011/2012,730.1
All acute respiratory infection,Males,Nepean Blue Mountains,2012/2013,760.3
All acute respiratory infection,Males,Nepean Blue Mountains,2013/2014,772.9
All acute respiratory infection,Males,Nepean Blue Mountains,2014/2015,777.8
All acute respiratory infection,Males,Nepean Blue Mountains,2015/2016,788.2
All acute respiratory infection,Males,Nepean Blue Mountains,2016/2017,775
All acute respiratory infection,Males,Nepean Blue Mountains,2017/2018,952
All acute respiratory infection,Males,Nepean Blue Mountains,2018/2019,912.3
All acute respiratory infection,Males,Nepean Blue Mountains,2019/2020,761.1
All acute respiratory infection,Males,Nepean Blue Mountains,2020/2021,595.7
All acute respiratory infection,Males,Northern Sydney,2001/2002,448.4
All acute respiratory infection,Males,Northern Sydney,2002/2003,421.2
All acute respiratory infection,Males,Northern Sydney,2003/2004,422.9
All acute respiratory infection,Males,Northern Sydney,2004/2005,453.8
All acute respiratory infection,Males,Northern Sydney,2005/2006,433.9
All acute respiratory infection,Males,Northern Sydney,2006/2007,476.2
All acute respiratory infection,Males,Northern Sydney,2007/2008,498.1
All acute respiratory infection,Males,Northern Sydney,2008/2009,503
All acute respiratory infection,Males,Northern Sydney,2009/2010,467.9
All acute respiratory infection,Males,Northern Sydney,2010/2011,527.9
All acute respiratory infection,Males,Northern Sydney,2011/2012,533.3
All acute respiratory infection,Males,Northern Sydney,2012/2013,486
All acute respiratory infection,Males,Northern Sydney,2013/2014,489.8
All acute respiratory infection,Males,Northern Sydney,2014/2015,565.2
All acute respiratory infection,Males,Northern Sydney,2015/2016,614.4
All acute respiratory infection,Males,Northern Sydney,2016/2017,580.9
All acute respiratory infection,Males,Northern Sydney,2017/2018,642.8
All acute respiratory infection,Males,Northern Sydney,2018/2019,658.4
All acute respiratory infection,Males,Northern Sydney,2019/2020,573.5
All acute respiratory infection,Males,Northern Sydney,2020/2021,371.8
All acute respiratory infection,Males,Central Coast,2001/2002,521.8
All acute respiratory infection,Males,Central Coast,2002/2003,564.2
All acute respiratory infection,Males,Central Coast,2003/2004,555.5
All acute respiratory infection,Males,Central Coast,2004/2005,537.4
All acute respiratory infection,Males,Central Coast,2005/2006,588.1
All acute respiratory infection,Males,Central Coast,2006/2007,551.5
All acute respiratory infection,Males,Central Coast,2007/2008,609.5
All acute respiratory infection,Males,Central Coast,2008/2009,545.7
All acute respiratory infection,Males,Central Coast,2009/2010,572.3
All acute respiratory infection,Males,Central Coast,2010/2011,600.4
All acute respiratory infection,Males,Central Coast,2011/2012,577.7
All acute respiratory infection,Males,Central Coast,2012/2013,588.6
All acute respiratory infection,Males,Central Coast,2013/2014,608.5
All acute respiratory infection,Males,Central Coast,2014/2015,740.2
All acute respiratory infection,Males,Central Coast,2015/2016,771.5
All acute respiratory infection,Males,Central Coast,2016/2017,649.1
All acute respiratory infection,Males,Central Coast,2017/2018,759.8
All acute respiratory infection,Males,Central Coast,2018/2019,769.8
All acute respiratory infection,Males,Central Coast,2019/2020,695.2
All acute respiratory infection,Males,Central Coast,2020/2021,509.4
All acute respiratory infection,Males,Hunter New England,2001/2002,713.6
All acute respiratory infection,Males,Hunter New England,2002/2003,699.9
All acute respiratory infection,Males,Hunter New England,2003/2004,696.5
All acute respiratory infection,Males,Hunter New England,2004/2005,692.6
All acute respiratory infection,Males,Hunter New England,2005/2006,679.1
All acute respiratory infection,Males,Hunter New England,2006/2007,643.4
All acute respiratory infection,Males,Hunter New England,2007/2008,692
All acute respiratory infection,Males,Hunter New England,2008/2009,653.5
All acute respiratory infection,Males,Hunter New England,2009/2010,631.1
All acute respiratory infection,Males,Hunter New England,2010/2011,639.1
All acute respiratory infection,Males,Hunter New England,2011/2012,684.4
All acute respiratory infection,Males,Hunter New England,2012/2013,639
All acute respiratory infection,Males,Hunter New England,2013/2014,658.2
All acute respiratory infection,Males,Hunter New England,2014/2015,720.9
All acute respiratory infection,Males,Hunter New England,2015/2016,707.4
All acute respiratory infection,Males,Hunter New England,2016/2017,763.2
All acute respiratory infection,Males,Hunter New England,2017/2018,797.5
All acute respiratory infection,Males,Hunter New England,2018/2019,760.1
All acute respiratory infection,Males,Hunter New England,2019/2020,645.3
All acute respiratory infection,Males,Hunter New England,2020/2021,480
All acute respiratory infection,Males,Northern NSW,2001/2002,794.3
All acute respiratory infection,Males,Northern NSW,2002/2003,812.5
All acute respiratory infection,Males,Northern NSW,2003/2004,781.2
All acute respiratory infection,Males,Northern NSW,2004/2005,706.3
All acute respiratory infection,Males,Northern NSW,2005/2006,776.1
All acute respiratory infection,Males,Northern NSW,2006/2007,728.9
All acute respiratory infection,Males,Northern NSW,2007/2008,830
All acute respiratory infection,Males,Northern NSW,2008/2009,825.7
All acute respiratory infection,Males,Northern NSW,2009/2010,868.3
All acute respiratory infection,Males,Northern NSW,2010/2011,782.6
All acute respiratory infection,Males,Northern NSW,2011/2012,813.8
All acute respiratory infection,Males,Northern NSW,2012/2013,685
All acute respiratory infection,Males,Northern NSW,2013/2014,752.7
All acute respiratory infection,Males,Northern NSW,2014/2015,761.4
All acute respiratory infection,Males,Northern NSW,2015/2016,815.4
All acute respiratory infection,Males,Northern NSW,2016/2017,802.2
